name,lat,lon,cluster,source,country,max_abs
pt_la_rue-121a-syc-uhslc,-4.672,55.528,0,uhslc,syc,0.1512471566790247
ascension-291a-gbr-uhslc,-7.917,-14.417,1,uhslc,gbr,0.1582720675837897
gan-109a-mdv-uhslc,-0.687,73.152,2,uhslc,mdv,0.1652236998011615
honiara-009b-slb-uhslc,-9.422,159.955,3,uhslc,slb,0.1881604081522782
salvador-708b-bra-uhslc,-12.973,-38.517,4,uhslc,bra,0.1905870265149525
lombrum-56130-png-bom,-2.0367,147.3753,5,bom,png,0.2034208340797314
male_hulule-108b-mdv-uhslc,4.19,73.527,6,uhslc,mdv,0.2089293352942159
elhierro-elh-esp-cmems,27.78,-17.9,7,cmems,esp,0.2129648087742454
gomera-gom-esp-cmems,28.0,-17.0,8,cmems,esp,0.2149272933503127
madang-066a-png-uhslc,-5.2,145.8,9,uhslc,png,0.221537079465575
rabaul-010a-png-uhslc,-4.2,152.175,10,uhslc,png,0.2248692834823037
lapalma-lap-esp-cmems,28.678,-17.768,11,cmems,esp,0.239724866026138
hanimaadhoo-117b-mdv-uhslc,6.767,73.173,12,uhslc,mdv,0.2523304072021933
christmas-011a-kir-uhslc,1.985,-157.477,13,uhslc,kir,0.252694687297868
palmeira-235a-cpv-uhslc,16.755,-22.983,14,uhslc,cpv,0.2570743044188965
santa_cruz-030a-ecu-uhslc,-0.755,-90.313,15,uhslc,ecu,0.2582947531104911
olcott_ny-9052076-usa-noaa,43.3384,-78.7273,16,noaa,usa,0.2612547869359846
diego_garcia-104d-gbr-uhslc,-7.29,72.393,17,uhslc,gbr,0.2627622409737662
apia-401b-wsm-uhslc,-13.82,-171.757,18,uhslc,wsm,0.2662965375030703
puerto_cortes-780a-hnd-uhslc,15.833,-87.95,19,uhslc,hnd,0.2673367041400781
gamebridge_ontario-16500-can-meds,44.47,-79.17,20,meds,can,0.2692376729401329
coteau_landing-15110-can-meds,45.25,-74.21,21,meds,can,0.2703130391927387
esperanza-9752695-usa-noaa,18.0939,-65.4714,22,noaa,usa,0.2781795473553708
chuuk-054a-fsm-uhslc,7.45,151.85,23,uhslc,fsm,0.2868816816259375
tarawa_betio-67590-kir-bom,1.3651,172.933,24,bom,kir,0.2887442784164079
