name,fold
haringvliet_10-harvt10-nld-rws,train
bonanza-bon-esp-cmems,train
magueyes_island-9759110-usa-noaa,train
juneau-9452210-usa-noaa,train
lac_saint_pierre-15975-can-meds,train
nardana_patches-58178-aus-bom,train
sydney_port_jackson-213470-aus-bom,train
nikolski-9462450-usa-noaa,train
uwajima-ma40-jpn-jodc_jma,train
ponta_delgada-211a-prt-uhslc,train
gros_cap_ontario-10920-can-meds,train
marblehead_oh-9063079-usa-noaa,train
sheerness-she-gbr-bodc,train
vlieland_haven-vlielhvn-nld-rws,train
ancona-anx-ita-ispra,train
stenungsund-2110-swe-smhi,train
bar_point_ontario-12005-can-meds,train
fernandina_beach-8720030-usa-noaa,train
arena_cove-9416841-usa-noaa,train
kaohsiung-340a-chn-uhslc,train
la_push-9442396-usa-noaa,train
caddadup-dvcad01-aus-bom,train
duluth_mn-9099064-usa-noaa,train
washington-8594900-usa-noaa,train
zanzibar-151a-tza-uhslc,train
bake_c_scharhorn-3905-deu-wsv,train
ishikariko-0145-jpn-jodc_pahb,train
fort_denison-333a-aus-uhslc,train
point_iroquois_mi-9099004-usa-noaa,train
stavenisse-stavnse-nld-rws,train
lymington-lym-gbr-cco,train
settlement_point-257b-bhs-uhslc,train
melilla-mel-esp-cmems,train
krimpen_ad_ijssel-krimpadijsl-nld-rws,train
kinlochbervie-kin-gbr-bodc,train
wells-8419317-usa-noaa,train
fermi_power_plant_mi-9063090-usa-noaa,train
bluff-072a-nzl-uhslc,train
slipshavn-sli-dnk-cmems,train
gold_coast_southport-60051-aus-bom,train
kochi-ma38-jpn-jodc_jma,train
west_terschelling-westtslg-nld-rws,train
calumet_harbor_il-9087044-usa-noaa,train
queen_charlotte_city-9850-can-meds,train
berwick-8764044-usa-noaa,train
oslo-osl-nor-nhs,train
yaizu-gs23-jpn-jodc_giaj,train
las_palmas-217d-esp-uhslc,train
palmeira-235a-cpv-uhslc,train
havre_de_grace-8574070-usa-noaa,train
kapingamarangi-029a-fsm-uhslc,train
port_alberni_bc-8575-can-meds,train
saint_francois_io-3100-can-meds,train
shibushiko-0114-jpn-jodc_pahb,train
liverpool_gladstone_dock-liv-gbr-bodc,train
pietarsaari_leppaluoto-134250-fin-fmi,train
sagunto-sag-esp-cmems,train
skagway-9452400-usa-noaa,train
nawiliwili-1611400-usa-noaa,train
davao-372b-phl-uhslc,train
wake-051a-usa-uhslc,train
gloucester_point-8637624-usa-noaa,train
broome-166a-aus-uhslc,train
ominato-hd04-jpn-jodc_jcg,train
gobo-ma68-jpn-jodc_jma,train
shediac_bay-1805-can-meds,train
harvey-dvhar01-aus-bom,train
st_johns-276b-can-uhslc,train
kagoshima-ma42-jpn-jodc_jma,train
dieppe_60minute-die-fra-cmems,train
conimicut_light-8452944-usa-noaa,train
vardo-vaw-nor-nhs,train
penang-144a-mys-uhslc,train
sitka_ak-559a-usa-uhslc,train
langkawi-142a-mys-uhslc,train
matsuyama-ma34-jpn-jodc_jma,train
port_fourchon-8762075-usa-noaa,train
port_alma-59690-aus-bom,train
cagliari-cag-ita-ispra,train
newcastle-60310-aus-bom,train
kozushima-hd09-jpn-jodc_jcg,train
kamaishi-hd05-jpn-jodc_jcg,train
cocos-171a-aus-uhslc,train
nikiski-9455760-usa-noaa,train
fynshav-fyn-dnk-cmems,train
lewisetta-8635750-usa-noaa,train
french_frigate-014a-usa-uhslc,train
aomoriko-0104-jpn-jodc_pahb,train
rak_zuid-rakzd-nld-rws,train
manta-089b-ecu-uhslc,train
