name,fold
abashiri-ma02-jpn-jodc_jma,train
aburatsu-354a-jpn-uhslc,train
adak_alaska-040a-usa-uhslc,train
akune-gs15-jpn-jodc_giaj,train
alitak-9457804-usa-noaa,train
alpena_mi-9075065-usa-noaa,train
amami-ma73-jpn-jodc_jma,train
american_falls_ny-9063009-usa-noaa,train
annapolis-8575512-usa-noaa,train
aomoriko-0104-jpn-jodc_pahb,train
apalachicola_fl-760a-usa-uhslc,train
apra_harbor_guam-053a-usa-uhslc,train
arena_cove-9416841-usa-noaa,train
asamushi-gs06-jpn-jodc_giaj,train
atka-9461710-usa-noaa,train
awashima-hd25-jpn-jodc_jcg,train
ayukawa-ma11-jpn-jodc_jma,train
baltimore-8574680-usa-noaa,train
bay_waveland_yacht_club-8747437-usa-noaa,train
beaufort-8656483-usa-noaa,train
bergen_point_west_reach-8519483-usa-noaa,train
berwick-8764044-usa-noaa,train
bishops_head-8571421-usa-noaa,train
boston-8443970-usa-noaa,train
bridgeport-8467150-usa-noaa,train
bryte_lab-byl-usa-cdwr,train
calcasieu_pass-8768094-usa-noaa,train
calumet_harbor_il-9087044-usa-noaa,train
cambridge-8571892-usa-noaa,train
cape_hatteras_fishing_pier-8654400-usa-noaa,train
cape_may-8536110-usa-noaa,train
charleston_or-575a-usa-uhslc,train
charleston_sc-261b-usa-uhslc,train
chesapeake_bbt-749a-usa-uhslc,train
chesapeake_city-8573927-usa-noaa,train
chichijima-047a-jpn-uhslc,train
choshigyoko-ma64-jpn-jodc_jma,train
christiansted_harbor-9751364-usa-noaa,train
cleveland_oh-9063063-usa-noaa,train
coast_guard_sector_mobile-8736897-usa-noaa,train
colonial_beach-8635150-usa-noaa,train
conimicut_light-8452944-usa-noaa,train
cordova-9454050-usa-noaa,train
corpus_cristi_tx-770a-usa-uhslc,train
crescent_city_ca-556a-usa-uhslc,train
culebra-9752235-usa-noaa,train
cutler_naval_base-8411250-usa-noaa,train
dauphin_island_al-763a-usa-uhslc,train
de_tour_village_mi-9075099-usa-noaa,train
delaware_city-8551762-usa-noaa,train
duck_pier_nc-260a-usa-uhslc,train
duluth_mn-9099064-usa-noaa,train
dutch_harbor_ak-041b-usa-uhslc,train
eastport_me-740a-usa-uhslc,train
elfin_cove-9452634-usa-noaa,train
esashiko-0140-jpn-jodc_pahb,train
esperanza-9752695-usa-noaa,train
essexville_mi-9075035-usa-noaa,train
fairport_oh-9063053-usa-noaa,train
fermi_power_plant_mi-9063090-usa-noaa,train
fernandina_beach-8720030-usa-noaa,train
fort_myers-8725520-usa-noaa,train
fort_point-8423898-usa-noaa,train
fort_pulaski-8670870-usa-noaa,train
fort_wayne_mi-9044036-usa-noaa,train
french_frigate-014a-usa-uhslc,train
fukaura-ma57-jpn-jodc_jma,train
fukue-ma50-jpn-jodc_jma,train
fushikitoyamako-0107-jpn-jodc_pahb,train
gibraltar_mi-9044020-usa-noaa,train
gloucester_point-8637624-usa-noaa,train
gobo-ma68-jpn-jodc_jma,train
grand_isle_la-765a-usa-uhslc,train
green_bay_wi-9087079-usa-noaa,train
hachijyojima-hd11-jpn-jodc_jcg,train
hachinohe-375a-jpn-uhslc,train
hakata-hd18-jpn-jodc_jcg,train
hakodate-364a-jpn-uhslc,train
hamada-ma66-jpn-jodc_jma,train
hanasaki-ma03-jpn-jodc_jma,train
harbor_beach_mi-9075014-usa-noaa,train
harrisville_mi-9075059-usa-noaa,train
harvest_oil_p_ca-594a-usa-uhslc,train
havre_de_grace-8574070-usa-noaa,train
hilo_hawaii-060a-usa-uhslc,train
hirarako-0151-jpn-jodc_pahb,train
hiroshima-hd14-jpn-jodc_jcg,train
holland_mi-9087031-usa-noaa,train
honolulu_hawaii-057b-usa-uhslc,train
i_295_bridge-8720357-usa-noaa,train
irouzaki-ma78-jpn-jodc_jma,train
ishigaki-ma45-jpn-jodc_jma,train
ishikariko-0145-jpn-jodc_pahb,train
iwanaiko-0137-jpn-jodc_pahb,train
johnston_atoll-1619000-usa-noaa,train
juneau-9452210-usa-noaa,train
kagoshima-ma42-jpn-jodc_jma,train
kahului-1615680-usa-noaa,train
kainan-gs05-jpn-jodc_giaj,train
kamaishi-hd05-jpn-jodc_jcg,train
kanazawako-0105-jpn-jodc_pahb,train
kariya-gs17-jpn-jodc_giaj,train
kashimako-0101-jpn-jodc_pahb,train
kashiwazaki-gs08-jpn-jodc_giaj,train
katsuura-gs11-jpn-jodc_giaj,train
kawaihae-552a-usa-uhslc,train
ketchikan_ak-571a-usa-uhslc,train
key_west_fl-242a-usa-uhslc,train
kings_point-8516945-usa-noaa,train
kiptopeke-8632200-usa-noaa,train
kobe-ma31-jpn-jodc_jma,train
kochi-ma38-jpn-jodc_jma,train
kodiak_island-9457292-usa-noaa,train
komatsushima-ma36-jpn-jodc_jma,train
kozushima-hd09-jpn-jodc_jcg,train
kujiko-0111-jpn-jodc_pahb,train
kure-gs13-jpn-jodc_giaj,train
kure-hd13-jpn-jodc_jcg,train
kushiro-350a-jpn-uhslc,train
kutsugatako-0129-jpn-jodc_pahb,train
kwajalein-1820000-usa-noaa,train
la_jolla_ca-554a-usa-uhslc,train
la_push-9442396-usa-noaa,train
lawma-8764227-usa-noaa,train
lewes-8557380-usa-noaa,train
lewisetta-8635750-usa-noaa,train
lime_tree_bay-9751401-usa-noaa,train
longview-9440422-usa-noaa,train
los_angeles_ca-567a-usa-uhslc,train
mackinaw_city_mi-9075080-usa-noaa,train
magueyes_island-9759110-usa-noaa,train
maisaka-356a-jpn-uhslc,train
maizuru-hd24-jpn-jodc_jcg,train
maizuru-ma55-jpn-jodc_jma,train
makurazaki-ma43-jpn-jodc_jma,train
marblehead_oh-9063079-usa-noaa,train
marquette_cg_mi-9099018-usa-noaa,train
matsumaeko-0121-jpn-jodc_pahb,train
matsuyama-ma34-jpn-jodc_jma,train
mayport_ferry_depot-8720220-usa-noaa,train
menominee_mi-9087088-usa-noaa,train
midway-050a-usa-uhslc,train
mikuni-gs12-jpn-jodc_giaj,train
milwaukee_wi-9087057-usa-noaa,train
minamiizu-hd12-jpn-jodc_jcg,train
minamitorishima-049a-jpn-uhslc,train
misumi-ma46-jpn-jodc_jma,train
miyakejima-357a-jpn-uhslc,train
miyakeshima-ma71-jpn-jodc_jma,train
miyako-ma09-jpn-jodc_jma,train
miyazakiko-0113-jpn-jodc_pahb,train
moji-hd17-jpn-jodc_jcg,train
mokuoloe-1612480-usa-noaa,train
mona_island-9759938-usa-noaa,train
monbetsu-hd01-jpn-jodc_jcg,train
money_point-8639348-usa-noaa,train
montauk-8510560-usa-noaa,train
monterey_ca-555a-usa-uhslc,train
