name,fold
pt_la_rue-121a-syc-uhslc,train
ascension-291a-gbr-uhslc,train
gan-109a-mdv-uhslc,train
honiara-009b-slb-uhslc,train
salvador-708b-bra-uhslc,train
lombrum-56130-png-bom,train
male_hulule-108b-mdv-uhslc,train
elhierro-elh-esp-cmems,train
gomera-gom-esp-cmems,train
lapalma-lap-esp-cmems,train
hanimaadhoo-117b-mdv-uhslc,train
palmeira-235a-cpv-uhslc,train
santa_cruz-030a-ecu-uhslc,train
olcott_ny-9052076-usa-noaa,train
diego_garcia-104d-gbr-uhslc,train
esperanza-9752695-usa-noaa,train
tarawa_betio-67590-kir-bom,train
lamu-149b-ken-uhslc,train
funafuti-67440-tuv-bom,train
fuerteventura-fue-esp-cmems,train
zanzibar-151a-tza-uhslc,train
las_palmas-217d-esp-uhslc,train
harvest_oil_p_ca-594a-usa-uhslc,train
majuro-67680-mhl-bom,train
pohnpei-67950-fsm-bom,train
pohnpei-001c-fsm-uhslc,train
cristobal-266a-pan-uhslc,train
tenerife-ten-esp-cmems,train
toronto_ontario-13320-can-meds,train
cocos-171a-aus-uhslc,train
port_kembla-342a-aus-uhslc,train
marquette_cg_mi-9099018-usa-noaa,train
dakar-223e-sen-uhslc,train
oswego_ny-9052030-usa-noaa,train
chaleix_noumea-16-fra-refmar,train
ponta_delgada-211a-prt-uhslc,train
jervis_bay-216470-aus-bom,train
lumut-143a-mys-uhslc,train
kwajalein-1820000-usa-noaa,train
lameshur_bay-9751381-usa-noaa,train
alpena_mi-9075065-usa-noaa,train
suva-67050-fji-bom,train
ascension-asc-gbr-noc,train
harrisville_mi-9075059-usa-noaa,train
sydney_port_jackson-213470-aus-bom,train
tobermory_ontario-11690-can-meds,train
summerstown_ontario-14940-can-meds,train
ludington_mi-9087023-usa-noaa,train
langkawi-142a-mys-uhslc,train
settlement_point-257a-bhs-uhslc,train
san_juan_pr-245a-usa-uhslc,train
port_stanley-290b-gbr-uhslc,train
stanley-sta-gbr-noc,train
pointe_pitre-272a-fra-uhslc,train
keling-141a-mys-uhslc,train
west_neebish_island_mi-9076027-usa-noaa,train
norfolk_island-57700-aus-bom,train
spring_bay-61170-aus-bom,train
mooloolaba-59950-aus-bom,train
numbo_noumea-659-fra-refmar,train
mombasa-101a-ken-uhslc,train
reunion-164a-fra-uhslc,train
mackinaw_city_mi-9075080-usa-noaa,train
botany_bay-60390-aus-bom,train
port_chalmers-669a-nzl-uhslc,train
de_tour_village_mi-9075099-usa-noaa,train
port_louis-103c-mus-uhslc,train
menominee_mi-9087088-usa-noaa,train
san_andres-737a-col-uhslc,train
callao-093b-per-uhslc,train
veracruz_ver-250a-mex-uhslc,train
algonac_mi-9014070-usa-noaa,train
coffs_harbour-205470-aus-bom,train
macquarie_is-680c-aus-uhslc,train
forster-209402-aus-bom,train
bremer_bay-bbbre01-aus-bom,train
malakal-007b-plw-uhslc,train
fort_denison-333a-aus-uhslc,train
rothera-rot-gbr-noc,train
los_angeles_ca-567a-usa-uhslc,train
salalah-114a-omn-uhslc,train
lautoka-402a-fji-uhslc,train
fairport_oh-9063053-usa-noaa,train
base_prat-730a-chl-uhslc,train
portland_victoria-129a-aus-uhslc,train
miri-388a-mys-uhslc,train
davis-173a-aus-uhslc,train
caddadup-dvcad01-aus-bom,train
michipicoten_ontario-10750-can-meds,train
san_felix-035a-chl-uhslc,train
burlington_ontario-13150-can-meds,train
albany-62120-aus-bom,train
cabo_san_lucas-034a-mex-uhslc,train
penang-144a-mys-uhslc,train
