name,fold
abashiri-347a-jpn-uhslc,train
abashiri-ma02-jpn-jodc_jma,train
aburatsu-354a-jpn-uhslc,train
aburatsubo-gs01-jpn-jodc_giaj,train
acapulco-316-mex-unam,train
acapulco_gro-316a-mex-uhslc,train
adak_alaska-040a-usa-uhslc,train
adak_island-9461380-usa-noaa,train
akune-gs15-jpn-jodc_giaj,train
alameda-9414750-usa-noaa,train
albany-62120-aus-bom,train
alexandria_bay_ny-8311062-usa-noaa,train
algonac_mi-9014070-usa-noaa,train
alitak-9457804-usa-noaa,train
alpena_mi-9075065-usa-noaa,train
amami-ma73-jpn-jodc_jma,train
amherstburg_ontario-11995-can-meds,train
anchorage-9455920-usa-noaa,train
annapolis-8575512-usa-noaa,train
antofagasta-080a-chl-uhslc,train
aomoriko-0104-jpn-jodc_pahb,train
apia-401b-wsm-uhslc,train
apra_harbor_guam-053a-usa-uhslc,train
arena_cove-9416841-usa-noaa,train
argentia-835-can-meds,train
arrecife-arre-esp-ieo,train
asamushi-gs06-jpn-jodc_giaj,train
ascension-291a-gbr-uhslc,train
ascension-asc-gbr-noc,train
astoria-9439040-usa-noaa,train
atka-9461710-usa-noaa,train
atlantic_city-8534720-usa-noaa,train
awayuki-ma69-jpn-jodc_jma,train
ayukawa-ma11-jpn-jodc_jma,train
baie_comeau-2840-can-meds,train
baltimore-8574680-usa-noaa,train
bamfield_bc-8545-can-meds,train
bar_harbor-8413320-usa-noaa,train
bar_point_ontario-12005-can-meds,train
base_prat-730a-chl-uhslc,train
batemans_bay_princess_jetty-216410-aus-bom,train
batiscan-3345-can-meds,train
bay_waveland_yacht_club-8747437-usa-noaa,train
beaufort-8656483-usa-noaa,train
becancour-3353-can-meds,train
bella_bella_bc-8976-can-meds,train
benoa-163a-idn-uhslc,train
berwick-8764044-usa-noaa,train
bintulu-387a-mys-uhslc,train
bishops_head-8571421-usa-noaa,train
bluff-072a-nzl-uhslc,train
booby_island-336a-aus-uhslc,train
boston-8443970-usa-noaa,train
botany_bay-60390-aus-bom,train
bowen-59320-aus-bom,train
bremer_bay-bbbre01-aus-bom,train
brisbane-331a-aus-uhslc,train
brisbane_bar-59980-aus-bom,train
brockville_ontario-14400-can-meds,train
broome-166a-aus-uhslc,train
buenos_aires-285a-arg-uhslc,train
buffalo_ny-9063020-usa-noaa,train
bunbury-62190-aus-bom,train
bundaberg-332a-aus-uhslc,train
bundaberg_burnett_heads-59820-aus-bom,train
burlington_ontario-13150-can-meds,train
busselton_port_geographe-bsgeo01-aus-bom,train
cabo_san_lucas-034-mex-unam,train
cabo_san_lucas-034a-mex-uhslc,train
caddadup-dvcad01-aus-bom,train
callao-093b-per-uhslc,train
calumet_harbor_il-9087044-usa-noaa,train
cambridge-8571892-usa-noaa,train
cananeia-281a-bra-uhslc,train
cape_ferguson-343a-aus-uhslc,train
cape_ferguson-h033007a-aus-bom,train
cape_hatteras_fishing_pier-8654400-usa-noaa,train
cape_may-8536110-usa-noaa,train
cape_town-704a-zaf-uhslc,train
carnarvon-167a-aus-uhslc,train
cartagena-265b-col-uhslc,train
cebu-379a-phl-uhslc,train
chaleix_noumea-16-fra-refmar,train
charlotte_amalie-9751639-usa-noaa,train
chesapeake_bbt-749a-usa-uhslc,train
chesapeake_city-8573927-usa-noaa,train
chiba-hd06-jpn-jodc_jcg,train
chichijima-047a-jpn-uhslc,train
choshigyoko-ma64-jpn-jodc_jma,train
christiansted_harbor-9751364-usa-noaa,train
churchill-274a-can-uhslc,train
clearwater_bch_fl-773a-usa-uhslc,train
cleveland_oh-9063063-usa-noaa,train
clump_point-59168-aus-bom,train
coast_guard_sector_mobile-8736897-usa-noaa,train
cobourg_ontario-13590-can-meds,train
cocos-171a-aus-uhslc,train
coffs_harbour-205470-aus-bom,train
collingwood_ontario-11500-can-meds,train
colonial_beach-8635150-usa-noaa,train
