name,fold
abashiri-ma02-jpn-jodc_jma,train
aberdeen-abe-gbr-bodc,train
aburatsu-354a-jpn-uhslc,train
acajutla-082a-slv-uhslc,train
acapulco-316-mex-unam,train
adak_alaska-040a-usa-uhslc,train
ajaccio_aspretto-300-fra-refmar,train
akune-gs15-jpn-jodc_giaj,train
albany-62120-aus-bom,train
alesund-aes-nor-nhs,train
algeciras-alge-esp-ieo,train
alicante_i-ali-esp-da_mm,train
alitak-9457804-usa-noaa,train
almeria-alm-esp-cmems,train
alpena_mi-9075065-usa-noaa,train
amami-ma73-jpn-jodc_jma,train
american_falls_ny-9063009-usa-noaa,train
amherstburg_ontario-11995-can-meds,train
ancona-anx-ita-ispra,train
annapolis-8575512-usa-noaa,train
antofagasta-080a-chl-uhslc,train
aomoriko-0104-jpn-jodc_pahb,train
apalachicola_fl-760a-usa-uhslc,train
apia-401b-wsm-uhslc,train
apra_harbor_guam-053a-usa-uhslc,train
arena_cove-9416841-usa-noaa,train
argentia-835-can-meds,train
arklowharbour-ark-irl-cmems,train
asamushi-gs06-jpn-jodc_giaj,train
ascension-291a-gbr-uhslc,train
ascension-asc-gbr-noc,train
atka-9461710-usa-noaa,train
avonmouth-avo-gbr-cmems,train
awashima-hd25-jpn-jodc_jcg,train
ayukawa-ma11-jpn-jodc_jma,train
bagenkop-bag-dnk-cmems,train
baie_comeau-2840-can-meds,train
bake_a-3611-deu-wsv,train
bake_c_scharhorn-3905-deu-wsv,train
baltimore-8574680-usa-noaa,train
baltra-003b-ecu-uhslc,train
bamfield_bc-8545-can-meds,train
bangor-ban-gbr-cmems,train
bar_point_ontario-12005-can-meds,train
barcelona-bar-esp-cmems,train
bari-bar-ita-ispra,train
barmouth-bar-gbr-cmems,train
batemans_bay_princess_jetty-216410-aus-bom,train
bath-bath-nld-rws,train
batiscan-3345-can-meds,train
bay_waveland_yacht_club-8747437-usa-noaa,train
bayonne_boucau-94-fra-refmar,train
beaufort-8656483-usa-noaa,train
becancour-3353-can-meds,train
bella_bella_bc-8976-can-meds,train
benoa-163a-idn-uhslc,train
bergen-bgo-nor-nhs,train
bergen_point_west_reach-8519483-usa-noaa,train
bergse_diepsluis_west-bergsdswt-nld-rws,train
berwick-8764044-usa-noaa,train
bilbao-bil-esp-cmems,train
bishops_head-8571421-usa-noaa,train
bluff-072a-nzl-uhslc,train
bodo-boo-nor-nhs,train
bonanza-bon-esp-cmems,train
booby_island-336a-aus-uhslc,train
boston-8443970-usa-noaa,train
botany_bay-60390-aus-bom,train
bournemouth-bou-gbr-bodc,train
bremer_bay-bbbre01-aus-bom,train
brest-822a-fra-uhslc,train
bridgeport-8467150-usa-noaa,train
brisbane_bar-59980-aus-bom,train
brockville_ontario-14400-can-meds,train
broome-166a-aus-uhslc,train
brouwershavensche_gat_08-brouwhvsgt08-nld-rws,train
brunswick_heads-202403-aus-bom,train
bryte_lab-byl-usa-cdwr,train
buenos_aires-285a-arg-uhslc,train
bundaberg_burnett_heads-59820-aus-bom,train
burlington_ontario-13150-can-meds,train
burnie-344a-aus-uhslc,train
cabo_san_lucas-034a-mex-uhslc,train
caddadup-dvcad01-aus-bom,train
cadzand-cadzd-nld-rws,train
cagliari-cag-ita-ispra,train
calcasieu_pass-8768094-usa-noaa,train
callao-093b-per-uhslc,train
calumet_harbor_il-9087044-usa-noaa,train
cambridge-8571892-usa-noaa,train
cananeia-281a-bra-uhslc,train
cape_ferguson-h033007a-aus-bom,train
cape_hatteras_fishing_pier-8654400-usa-noaa,train
cape_may-8536110-usa-noaa,train
cape_town-704a-zaf-uhslc,train
cardwell-h035012a-aus-bom,train
carloforte-car-ita-ispra,train
carnarvon-167a-aus-uhslc,train
cascais-209a-prt-uhslc,train
castletownbere_port-cas-irl-mi_c,train
catania-cat-ita-ispra,train
cebu-379a-phl-uhslc,train
cendering-320a-mys-uhslc,train
ceuta-207a-esp-uhslc,train
charchanga-138a-bgd-uhslc,train
charleston_or-575a-usa-uhslc,train
charleston_sc-261b-usa-uhslc,train
charlottetown-1700-can-meds,train
cherbourg_60minute-che-fra-cmems,train
chesapeake_bbt-749a-usa-uhslc,train
chesapeake_city-8573927-usa-noaa,train
chichijima-047a-jpn-uhslc,train
choshigyoko-ma64-jpn-jodc_jma,train
christiansted_harbor-9751364-usa-noaa,train
churchill-274a-can-uhslc,train
civitavecchia-civ-ita-ispra,train
cleveland_oh-9063063-usa-noaa,train
clump_point-59168-aus-bom,train
coast_guard_sector_mobile-8736897-usa-noaa,train
cocos-171a-aus-uhslc,train
coffs_harbour-205470-aus-bom,train
collingwood_ontario-11500-can-meds,train
colonial_beach-8635150-usa-noaa,train
concarneau-160-fra-refmar,train
conimicut_light-8452944-usa-noaa,train
cooktown-h066003a-aus-bom,train
cordova-9454050-usa-noaa,train
cornwall_ontario-14870-can-meds,train
corpus_cristi_tx-770a-usa-uhslc,train
crescent_city_ca-556a-usa-uhslc,train
cristobal-266a-pan-uhslc,train
cromer-cro-gbr-bodc,train
crotone-cro-ita-ispra,train
culebra-9752235-usa-noaa,train
cutler_naval_base-8411250-usa-noaa,train
darwin-168a-aus-uhslc,train
daugavgriva-dau-lva-cmems,train
dauphin_island_al-763a-usa-uhslc,train
davao-372b-phl-uhslc,train
davis-173a-aus-uhslc,train
de_tour_village_mi-9075099-usa-noaa,train
deal_pier-dlp-gbr-cco,train
delaware_city-8551762-usa-noaa,train
den_helder-denhdr-nld-rws,train
deschaillons-3335-can-meds,train
devonport-60930-aus-bom,train
diego_garcia-104d-gbr-uhslc,train
dieppe_60minute-die-fra-cmems,train
dordrecht-dordt-nld-rws,train
dover-dov-gbr-bodc,train
drogden-dro-dnk-cmems,train
dublin_port-dub-irl-mi_c,train
duck_pier_nc-260a-usa-uhslc,train
duluth_mn-9099064-usa-noaa,train
dutch_harbor_ak-041b-usa-uhslc,train
east_london-187a-zaf-uhslc,train
easter-022c-chl-uhslc,train
eastport_me-740a-usa-uhslc,train
eden-60530-aus-bom,train
elfin_cove-9452634-usa-noaa,train
elhierro-elh-esp-cmems,train
erieau_ontario-12250-can-meds,train
esashiko-0140-jpn-jodc_pahb,train
esmeraldas-098a-ecu-uhslc,train
esperance-176a-aus-uhslc,train
esperanza-9752695-usa-noaa,train
essexville_mi-9075035-usa-noaa,train
euro_platform-eurpfm-nld-rws,train
exmouth-62435-aus-bom,train
fairport_oh-9063053-usa-noaa,train
felixstowe-fel-gbr-cmems,train
fermi_power_plant_mi-9063090-usa-noaa,train
fernandina_beach-8720030-usa-noaa,train
fishermans_landing-h052003b-aus-bom,train
fishguard-fis-gbr-bodc,train
flores_santa_cruz-210a-prt-uhslc,train
foglo_degerby-134252-fin-fmi,train
forsmark-for-swe-cmems,train
forster-209402-aus-bom,train
fort_denison-333a-aus-uhslc,train
fort_myers-8725520-usa-noaa,train
fort_point-8423898-usa-noaa,train
fort_pulaski-8670870-usa-noaa,train
fort_wayne_mi-9044036-usa-noaa,train
fos_sur_mer-719-fra-refmar,train
fredericia-fre-dnk-cmems,train
