name,fold
reggio_calabria-reg-ita-ispra,train
yorktown_uscg_training_center-8637689-usa-noaa,train
oslo-osl-nor-nhs,train
monbetsu-hd01-jpn-jodc_jcg,train
mumbles-mum-gbr-bodc,train
spring_bay-61170-aus-bom,train
portellen-por-gbr-cmems,train
boston-8443970-usa-noaa,train
olandsnorraudde-ola-swe-cmems,train
san_felix-035a-chl-uhslc,train
kutsugatako-0129-jpn-jodc_pahb,train
katsuura-gs11-jpn-jodc_giaj,train
port_alexander-9451054-usa-noaa,train
la_libertad-091a-ecu-uhslc,train
skanor-ska-swe-cmems,train
riviere_au_renard-2330-can-meds,train
aburatsu-354a-jpn-uhslc,train
nawiliwili-1611400-usa-noaa,train
kariya-gs17-jpn-jodc_giaj,train
portland_me-252a-usa-uhslc,train
sydney_port_jackson-213470-aus-bom,train
kornwerderzand_buiten-kornwdzbtn-nld-rws,train
french_frigate-014a-usa-uhslc,train
bodo-boo-nor-nhs,train
valdez_ak-562a-usa-uhslc,train
catania-cat-ita-ispra,train
whyalla-61840-aus-bom,train
los_angeles_ca-567a-usa-uhslc,train
haringvliet_10-harvt10-nld-rws,train
port_kembla-342a-aus-uhslc,train
lord_howe-399b-aus-uhslc,train
colonial_beach-8635150-usa-noaa,train
cristobal-266a-pan-uhslc,train
kwajalein-1820000-usa-noaa,train
landsort_norra-2507-swe-smhi,train
urakawa-hd02-jpn-jodc_jcg,train
sagunto-sag-esp-cmems,train
saint_malo-410-fra-refmar,train
sado-ma79-jpn-jodc_jma,train
berwick-8764044-usa-noaa,train
knysna-186a-zaf-uhslc,train
sassnitz-sas-deu-cmems,train
rak_zuid-rakzd-nld-rws,train
grena-gre-dnk-cmems,train
den_helder-denhdr-nld-rws,train
port_vendres-75-fra-refmar,train
atka-9461710-usa-noaa,train
fredericia-fre-dnk-cmems,train
brest-822a-fra-uhslc,train
jackson_bay-65180-nzl-bom,train
milford_haven-mha-gbr-bodc,train
stavenisse-stavnse-nld-rws,train
almeria-alm-esp-cmems,train
westkapelle-westkple-nld-rws,train
harstad-har-nor-nhs,train
pago_pago-056a-asm-uhslc,train
port_colborne_ontario-12865-can-meds,train
mooloolaba-59950-aus-bom,train
marsden_point-398a-nzl-uhslc,train
yoshioka-hd26-jpn-jodc_jcg,train
brockville_ontario-14400-can-meds,train
raahe-raa-fin-cmems,train
santa_barbara_ca-577a-usa-uhslc,train
shimokita-ma74-jpn-jodc_jma,train
matsumaeko-0121-jpn-jodc_pahb,train
iwanaiko-0137-jpn-jodc_pahb,train
drogden-dro-dnk-cmems,train
dauphin_island_al-763a-usa-uhslc,train
shediac_bay-1805-can-meds,train
cambridge-8571892-usa-noaa,train
surabaya-160a-idn-uhslc,train
oudeschild-oudsd-nld-rws,train
karumba-63580-aus-bom,train
magueyes_island-9759110-usa-noaa,train
dover-dov-gbr-bodc,train
goteborgorsh-819a-swe-uhslc,train
lewes-8557380-usa-noaa,train
lower_escuminac-2000-can-meds,train
tauranga-073a-nzl-uhslc,train
rorvik-rvk-nor-nhs,train
narvik-nvk-nor-nhs,train
awashima-hd25-jpn-jodc_jcg,train
tokuyama-hd15-jpn-jodc_jcg,train
irouzaki-ma78-jpn-jodc_jma,train
valparaiso-081a-chl-uhslc,train
east_london-187a-zaf-uhslc,train
duluth_mn-9099064-usa-noaa,train
scheveningen-schevngn-nld-rws,train
chesapeake_city-8573927-usa-noaa,train
turku_ruissalo_saaronniemi-134225-fin-fmi,train
apra_harbor_guam-053a-usa-uhslc,train
fushikitoyamako-0107-jpn-jodc_pahb,train
davao-372b-phl-uhslc,train
rak_noord-raknd-nld-rws,train
port_fourchon-8762075-usa-noaa,train
kodiak_island-9457292-usa-noaa,train
gloucester_point-8637624-usa-noaa,train
salvador-708b-bra-uhslc,train
kuantan-322a-mys-uhslc,train
fos_sur_mer-719-fra-refmar,train
wyndham-165a-aus-uhslc,train
san_andres-737a-col-uhslc,train
roscoff_60minute-ros-fra-cmems,train
sendaiko-0112-jpn-jodc_pahb,train
nikolski-9462450-usa-noaa,train
north_sydney-612-can-meds,train
havre_de_grace-8574070-usa-noaa,train
churchill-274a-can-uhslc,train
sumoto-ma32-jpn-jodc_jma,train
plymouth-ply-gbr-cmems,train
brouwershavensche_gat_08-brouwhvsgt08-nld-rws,train
rossport_ontario-10220-can-meds,train
montauk-8510560-usa-noaa,train
gold_coast_southport-60051-aus-bom,train
menominee_mi-9087088-usa-noaa,train
okushiri-gs24-jpn-jodc_giaj,train
napoli-nap-ita-ispra,train
petten_zuid-pettzd-nld-rws,train
toke_point-9440910-usa-noaa,train
omaezaki-ma20-jpn-jodc_jma,train
