name,fold
toulon_60minute-tou-fra-cmems,train
sakatako-0102-jpn-jodc_pahb,train
santander-san-esp-cmems,train
honolulu_hawaii-057b-usa-uhslc,train
rodby-rod-dnk-cmems,train
venezia-vene-ita-cv,train
galway_port-gal-irl-mi_c,train
nelson-077a-nzl-uhslc,train
algeciras-alge-esp-ieo,train
solomons_island-8577330-usa-noaa,train
acajutla-082a-slv-uhslc,train
tobishima-gs25-jpn-jodc_giaj,train
lucinda_offshore-59200-aus-bom,train
la_push-9442396-usa-noaa,train
bangor-ban-gbr-cmems,train
hiroshima-hd14-jpn-jodc_jcg,train
texel_noordzee-texnze-nld-rws,train
aomoriko-0104-jpn-jodc_pahb,train
kaskinen-kas-fin-cmems,train
tioman-323a-mys-uhslc,train
coffs_harbour-205470-aus-bom,train
yoshioka-hd26-jpn-jodc_jcg,train
miyazakiko-0113-jpn-jodc_pahb,train
french_frigate-014a-usa-uhslc,train
queen_charlotte_city-9850-can-meds,train
apra_harbor_guam-053a-usa-uhslc,train
rorvik-rvk-nor-nhs,train
tanegashima-ma75-jpn-jodc_jma,train
knysna-186a-zaf-uhslc,train
sendaiko-0112-jpn-jodc_pahb,train
cocos-171a-aus-uhslc,train
chesapeake_bbt-749a-usa-uhslc,train
kiptopeke-8632200-usa-noaa,train
porto_empedocle-por-ita-ispra,train
bari-bar-ita-ispra,train
johnston_atoll-1619000-usa-noaa,train
gloucester_point-8637624-usa-noaa,train
kinlochbervie-kin-gbr-bodc,train
east_london-187a-zaf-uhslc,train
paldiski-pal-est-cmems,train
helgeroa-hro-nor-nhs,train
mayport_ferry_depot-8720220-usa-noaa,train
uchiura-ma18-jpn-jodc_jma,train
panama_city_beach-8729210-usa-noaa,train
yorktown_uscg_training_center-8637689-usa-noaa,train
sibolga-122a-idn-uhslc,train
bluff-072a-nzl-uhslc,train
oga-gs14-jpn-jodc_giaj,train
hanasaki-ma03-jpn-jodc_jma,train
alesund-aes-nor-nhs,train
albany-62120-aus-bom,train
apalachicola_fl-760a-usa-uhslc,train
nordrerose-nor-dnk-cmems,train
point_reyes-9415020-usa-noaa,train
kalix_storon-2157-swe-smhi,train
manila-370a-phl-uhslc,train
macquarie_is-680c-aus-uhslc,train
saint_john-65-can-meds,train
gladstone-59750-aus-bom,train
krimpen_ad_lek-krimpadlk-nld-rws,train
saint_joseph_de_la_rive-3057-can-meds,train
bundaberg_burnett_heads-59820-aus-bom,train
wyndham-165a-aus-uhslc,train
nes-nes-nld-rws,train
sacramento_r_at_snodgrass-sgx-usa-cdwr,train
sabine_pass_north-8770570-usa-noaa,train
brouwershavensche_gat_08-brouwhvsgt08-nld-rws,train
napoli-nap-ita-ispra,train
rockport_tx-769a-usa-uhslc,train
turtle_head-58180-aus-bom,train
foglo_degerby-134252-fin-fmi,train
philadelphia-8545240-usa-noaa,train
cape_hatteras_fishing_pier-8654400-usa-noaa,train
rough_and_ready_island-rri-usa-cdwr,train
adak_alaska-040a-usa-uhslc,train
karumba-63580-aus-bom,train
marviken-2076-swe-smhi,train
port_townsend-9444900-usa-noaa,train
christiansted_harbor-9751364-usa-noaa,train
skagsudde-2321-swe-smhi,train
zanzibar-151a-tza-uhslc,train
kota_kinabalu-386a-mys-uhslc,train
noto-ma80-jpn-jodc_jma,train
