name,fold
aarhus-aar-dnk-cmems,train
aberdeen-abe-gbr-cmems,train
acapulco-316-mex-unam,train
acapulco_gro-316a-mex-uhslc,train
adak_alaska-040a-usa-uhslc,train
adak_island-9461380-usa-noaa,train
ajaccio_aspretto-300-fra-refmar,train
alameda-9414750-usa-noaa,train
albany-62120-aus-bom,train
alesund-aes-nor-nhs,train
alexandria_bay_ny-8311062-usa-noaa,train
algeciras-alge-esp-ieo,train
algonac_mi-9014070-usa-noaa,train
alicante_i-ali-esp-da_mm,train
alitak-9457804-usa-noaa,train
almeria-alm-esp-cmems,train
alpena_mi-9075065-usa-noaa,train
amherstburg_ontario-11995-can-meds,train
ancona-anx-ita-ispra,train
andenes-800a-nor-uhslc,train
antofagasta-080a-chl-uhslc,train
arena_cove-9416841-usa-noaa,train
argentia-835-can-meds,train
arrecife-arre-esp-ieo,train
ascension-291a-gbr-uhslc,train
ascension-asc-gbr-noc,train
astoria-9439040-usa-noaa,train
atlantic_city-8534720-usa-noaa,train
baie_comeau-2840-can-meds,train
ballen-bal-dnk-cmems,train
bamfield_bc-8545-can-meds,train
bangor-ban-gbr-cmems,train
bar_harbor-8413320-usa-noaa,train
bar_point_ontario-12005-can-meds,train
barcelona-bar-esp-cmems,train
bari-bar-ita-ispra,train
barmouth-bar-gbr-bodc,train
barmouth-bar-gbr-cmems,train
barseback-bar-swe-cmems,train
base_prat-730a-chl-uhslc,train
batemans_bay_princess_jetty-216410-aus-bom,train
bath-bath-nld-rws,train
batiscan-3345-can-meds,train
bay_waveland_yacht_club-8747437-usa-noaa,train
bayonne_boucau-94-fra-refmar,train
beaufort-8656483-usa-noaa,train
becancour-3353-can-meds,train
bella_bella_bc-8976-can-meds,train
belum-1263-deu-wsv,train
benoa-163a-idn-uhslc,train
bergen-bgo-nor-nhs,train
berwick-8764044-usa-noaa,train
bintulu-387a-mys-uhslc,train
bishops_head-8571421-usa-noaa,train
bluff-072a-nzl-uhslc,train
bodo-boo-nor-nhs,train
bonanza-bon-esp-cmems,train
booby_island-336a-aus-uhslc,train
borkum_fischerbalje-bor-deu-bfg,train
boston-8443970-usa-noaa,train
botany_bay-60390-aus-bom,train
bowen-59320-aus-bom,train
bremer_bay-bbbre01-aus-bom,train
bremervorde-71-deu-wsv,train
brisbane-331a-aus-uhslc,train
