name,fold
ushuaia-600a-arg-uhslc,train
syowa_station_antarctica-hd50-ata-jodc_jcg,train
bermagui-219470-aus-bom,train
geraldton-62290-aus-bom,train
coffs_harbour-205470-aus-bom,train
cairns-59060-aus-bom,train
burnie-344a-aus-uhslc,train
crookhaven_heads-215408-aus-bom,train
norfolk_island-57700-aus-bom,train
queenscliff-60732-aus-bom,train
spring_bay-61170-aus-bom,train
port_hedland-169a-aus-uhslc,train
lord_howe-399b-aus-uhslc,train
brisbane-331a-aus-uhslc,train
eden-60530-aus-bom,train
south_trees-h052026a-aus-bom,train
jervis_bay-216470-aus-bom,train
point_lonsdale-60730-aus-bom,train
brisbane_bar-59980-aus-bom,train
weipa_humbug_point-63620-aus-bom,train
mandurah_fishermans_jetty-mhman01-aus-bom,train
forster-209402-aus-bom,train
hovell_pile-60721-aus-bom,train
melville_bay_gove_harbour-63480-aus-bom,train
bremer_bay-bbbre01-aus-bom,train
jurien_bay-jujur01-aus-bom,train
rosslyn_bay-330a-aus-uhslc,train
port_stanvac-100a-aus-uhslc,train
mooloolaba-59950-aus-bom,train
portland_victoria-129a-aus-uhslc,train
sydney_port_jackson-213470-aus-bom,train
urangan-59850-aus-bom,train
booby_island-336a-aus-uhslc,train
port_lincoln-61900-aus-bom,train
thursday_island-58170-aus-bom,train
esperance-176a-aus-uhslc,train
cape_ferguson-h033007a-aus-bom,train
milner_bay_groote_eylandt-63511-aus-bom,train
melbourne_williamstown-60780-aus-bom,train
yamba-60130-aus-bom,train
peel_inlet-plpee01-aus-bom,train
newcastle-60310-aus-bom,train
botany_bay-60390-aus-bom,train
caddadup-dvcad01-aus-bom,train
cape_ferguson-343a-aus-uhslc,train
hiron_point-134a-bgd-uhslc,train
mina_sulman-182a-bhr-uhslc,train
settlement_point-257b-bhs-uhslc,train
salvador-708b-bra-uhslc,train
rimouski-2985-can-meds,train
mtl_rue_frontenac-15540-can-meds,train
north_sydney-612-can-meds,train
steveston_bc-7607-can-meds,train
victoria_harbour_bc-7120-can-meds,train
patricia_bay_bc-7277-can-meds,train
sault_ste_marie_ontario-10980-can-meds,train
riviere_au_renard-2330-can-meds,train
pointe_claire-15330-can-meds,train
bar_point_ontario-12005-can-meds,train
pointe_des_cascades-15220-can-meds,train
port_lambton_ontario-11950-can-meds,train
point_edward_ontario-11940-can-meds,train
saint_john-65-can-meds,train
winter_harbour_bc-8735-can-meds,train
baie_comeau-2840-can-meds,train
cobourg_ontario-13590-can-meds,train
parry_sound_ontario-11375-can-meds,train
churchill-274a-can-uhslc,train
little_current_ontario-11195-can-meds,train
port_stanley_ontario-12400-can-meds,train
west_ste_modeste-2595-can-meds,train
point_atkinson_bc-7795-can-meds,train
bella_bella_bc-8976-can-meds,train
cornwall_ontario-14870-can-meds,train
montreal_jetee_1-15520-can-meds,train
morrisburg_ontario-14660-can-meds,train
summerstown_ontario-14940-can-meds,train
port_weller_ontario-13030-can-meds,train
prince_rupert_bc-9354-can-meds,train
toronto_ontario-13320-can-meds,train
san_felix-035a-chl-uhslc,train
easter-022c-chl-uhslc,train
base_prat-730a-chl-uhslc,train
kaohsiung-340a-chn-uhslc,train
san_andres-737a-col-uhslc,train
palmeira-235a-cpv-uhslc,train
krautsand-89-deu-wsv,train
borkum_fischerbalje-bor-deu-bfg,train
kollmar-88-deu-wsv,train
warnemunde-war-deu-bfg,train
sassnitz-sas-deu-cmems,train
stadersand-98-deu-wsv,train
hechthausen-83-deu-wsv,train
cuxhaven_steubenhoft-77-deu-wsv,train
bremervorde-71-deu-wsv,train
ballen-bal-dnk-cmems,train
hesnaes-hes-dnk-cmems,train
kobenhavn-kob-dnk-cmems,train
korsor-kor-dnk-cmems,train
skagen-ska-dnk-cmems,train
frederikshavn-fre-dnk-cmems,train
drogden-dro-dnk-cmems,train
slipshavn-sli-dnk-cmems,train
santa_cruz-030a-ecu-uhslc,train
ferrol2-fer-esp-cmems,train
motril-mot-esp-cmems,train
ferrol-fer-esp-cmems,train
almeria-alm-esp-cmems,train
huelva-hue-esp-cmems,train
gijon-gij-esp-cmems,train
tenerife-ten-esp-cmems,train
santander-san-esp-cmems,train
malaga-mal-esp-cmems,train
gandia-gan-esp-cmems,train
pluz-pluz-esp-ieo,train
bonanza-bon-esp-cmems,train
ibiza-ibi-esp-cmems,train
cruz-cruz-esp-ieo,train
valencia-val-esp-cmems,train
tallinn-tal-est-cmems,train
hamina-ham-fin-cmems,train
oulu-oul-fin-cmems,train
pietarsaari_leppaluoto-134250-fin-fmi,train
pori-por-fin-cmems,train
turku-tur-fin-cmems,train
kaskinen-kas-fin-cmems,train
hamina_pitajansaari-134254-fin-fmi,train
suva-67050-fji-bom,train
lessablesdolonne_60minute-les-fra-cmems,train
lehavre_60minute-leh-fra-cmems,train
socoa_60minute-soc-fra-cmems,train
numbo_noumea-659-fra-refmar,train
sainildas_60minute-sai-fra-cmems,train
bayonne_boucau-94-fra-refmar,train
nice-339-fra-refmar,train
toulon_60minute-tou-fra-cmems,train
port_bloc-15-fra-refmar,train
le_conquet-152-fra-refmar,train
galets_60minute-gal-fra-cmems,train
pohnpei-67950-fsm-bom,train
yap-008b-fsm-uhslc,train
leith-lei-gbr-bodc,train
porterin-por-gbr-cmems,train
stanley-sta-gbr-noc,train
plymouth-ply-gbr-cmems,train
ascension-asc-gbr-noc,train
sthelier-sth-gbr-cmems,train
whitby-whi-gbr-bodc,train
newlyn-new-gbr-bodc,train
kinlochbervie-kin-gbr-bodc,train
workington-wor-gbr-cmems,train
weymouth-wey-gbr-cmems,train
sandown_pier-sdp-gbr-cco,train
newhaven-new-gbr-cmems,train
gibraltar-289a-gbr-uhslc,train
lymington-lym-gbr-cco,train
tobermory-tob-gbr-cmems,train
bakar-bak-hrv-uz,train
