name,fold
aarhus-aar-dnk-cmems,train
abashiri-347a-jpn-uhslc,train
abashiri-ma02-jpn-jodc_jma,train
aberdeen-abe-gbr-bodc,train
aberdeen-abe-gbr-cmems,train
aburatsu-354a-jpn-uhslc,train
aburatsubo-gs01-jpn-jodc_giaj,train
adak_alaska-040a-usa-uhslc,train
adak_island-9461380-usa-noaa,train
ajaccio_aspretto-300-fra-refmar,train
akune-gs15-jpn-jodc_giaj,train
albany-62120-aus-bom,train
alesund-aes-nor-nhs,train
algeciras-alge-esp-ieo,train
alicante_i-ali-esp-da_mm,train
alitak-9457804-usa-noaa,train
almeria-alm-esp-cmems,train
amami-ma73-jpn-jodc_jma,train
anchorage-9455920-usa-noaa,train
ancona-anx-ita-ispra,train
andenes-800a-nor-uhslc,train
antofagasta-080a-chl-uhslc,train
aomoriko-0104-jpn-jodc_pahb,train
apia-401b-wsm-uhslc,train
apra_harbor_guam-053a-usa-uhslc,train
arklowharbour-ark-irl-cmems,train
arrecife-arre-esp-ieo,train
asamushi-gs06-jpn-jodc_giaj,train
ascension-291a-gbr-uhslc,train
ascension-asc-gbr-noc,train
atka-9461710-usa-noaa,train
awashima-hd25-jpn-jodc_jcg,train
awayuki-ma69-jpn-jodc_jma,train
ayukawa-ma11-jpn-jodc_jma,train
bagenkop-bag-dnk-cmems,train
bakar-bak-hrv-uz,train
ballen-bal-dnk-cmems,train
bangor-ban-gbr-cmems,train
barcelona-bar-esp-cmems,train
bari-bar-ita-ispra,train
barmouth-bar-gbr-bodc,train
barmouth-bar-gbr-cmems,train
barseback-bar-swe-cmems,train
base_prat-730a-chl-uhslc,train
batemans_bay_princess_jetty-216410-aus-bom,train
bath-bath-nld-rws,train
bayonne_boucau-94-fra-refmar,train
belum-1263-deu-wsv,train
benoa-163a-idn-uhslc,train
bergen-bgo-nor-nhs,train
bintulu-387a-mys-uhslc,train
bluff-072a-nzl-uhslc,train
bodo-boo-nor-nhs,train
bonanza-bon-esp-cmems,train
booby_island-336a-aus-uhslc,train
borkum_fischerbalje-bor-deu-bfg,train
botany_bay-60390-aus-bom,train
bowen-59320-aus-bom,train
bremer_bay-bbbre01-aus-bom,train
bremervorde-71-deu-wsv,train
brisbane-331a-aus-uhslc,train
brisbane_bar-59980-aus-bom,train
broome-166a-aus-uhslc,train
buenos_aires-285a-arg-uhslc,train
bunbury-62190-aus-bom,train
bundaberg-332a-aus-uhslc,train
bundaberg_burnett_heads-59820-aus-bom,train
busselton_port_geographe-bsgeo01-aus-bom,train
caddadup-dvcad01-aus-bom,train
cadzand-cadzd-nld-rws,train
cagliari-cag-ita-ispra,train
callao-093b-per-uhslc,train
cananeia-281a-bra-uhslc,train
cape_ferguson-343a-aus-uhslc,train
cape_ferguson-h033007a-aus-bom,train
cape_town-704a-zaf-uhslc,train
carloforte-car-ita-ispra,train
carnarvon-167a-aus-uhslc,train
cartagena-265b-col-uhslc,train
cascais-209a-prt-uhslc,train
castletownbere_port-cas-irl-mi_c,train
catania-cat-ita-ispra,train
cebu-379a-phl-uhslc,train
cendering-320a-mys-uhslc,train
ceuta-207a-esp-uhslc,train
chaleix_noumea-16-fra-refmar,train
cherbourg_60minute-che-fra-cmems,train
chiba-hd06-jpn-jodc_jcg,train
chichijima-047a-jpn-uhslc,train
choshigyoko-ma64-jpn-jodc_jma,train
civitavecchia-civ-ita-ispra,train
clump_point-59168-aus-bom,train
cocos-171a-aus-uhslc,train
coffs_harbour-205470-aus-bom,train
concarneau-160-fra-refmar,train
cooktown-h066003a-aus-bom,train
cordemais_60minute-cor-fra-cmems,train
cordova-9454050-usa-noaa,train
coruna-cor-esp-cmems,train
crookhaven_heads-215408-aus-bom,train
crotone-cro-ita-ispra,train
cruz-cruz-esp-ieo,train
cuxhaven-825a-deu-uhslc,train
cuxhaven_steubenhoft-77-deu-wsv,train
dakar-223e-sen-uhslc,train
daugavgriva-dau-lva-cmems,train
davao-372b-phl-uhslc,train
davis-173a-aus-uhslc,train
diego_garcia-104d-gbr-uhslc,train
dover-dov-gbr-bodc,train
drogden-dro-dnk-cmems,train
dunkerque-2-fra-refmar,train
durban-181a-zaf-uhslc,train
dutch_harbor_ak-041b-usa-uhslc,train
easter-022c-chl-uhslc,train
eden-60530-aus-bom,train
elfin_cove-9452634-usa-noaa,train
elhierro-elh-esp-cmems,train
esashiko-0140-jpn-jodc_pahb,train
esmeraldas-098a-ecu-uhslc,train
esperance-176a-aus-uhslc,train
euro_platform-eurpfm-nld-rws,train
exmouth-62435-aus-bom,train
faraday-700a-ata-uhslc,train
ferrol-fer-esp-cmems,train
ferrol2-fer-esp-cmems,train
fishermans_landing-h052003b-aus-bom,train
fishguard-fis-gbr-bodc,train
flores_santa_cruz-210a-prt-uhslc,train
foglo_degerby-134252-fin-fmi,train
forsmark-for-swe-cmems,train
fort_denison-333a-aus-uhslc,train
fos_sur_mer-719-fra-refmar,train
fredericia-fre-dnk-cmems,train
frederikshavn-fre-dnk-cmems,train
french_frigate-014a-usa-uhslc,train
fuerteventura-fue-esp-cmems,train
fukaura-ma57-jpn-jodc_jma,train
fukue-ma50-jpn-jodc_jma,train
furuogrund-2055-swe-smhi,train
fushikitoyamako-0107-jpn-jodc_pahb,train
fynshav-fyn-dnk-cmems,train
galets_60minute-gal-fra-cmems,train
gan-109a-mdv-uhslc,train
gandia-gan-esp-cmems,train
geelong-60770-aus-bom,train
genova-gen-ita-ispra,train
geraldton-62290-aus-bom,train
geting-326a-mys-uhslc,train
gibraltar-289a-gbr-uhslc,train
gijon-gij-esp-cmems,train
gladstone-59750-aus-bom,train
gobo-ma68-jpn-jodc_jma,train
goidschalxoord-goidsod-nld-rws,train
gold_coast_southport-60051-aus-bom,train
gomera-gom-esp-cmems,train
goods_island-58200-aus-bom,train
goteborgorsh-819a-swe-uhslc,train
greifswald_wiek-gre-deu-bfg,train
groote_eylandt-145a-aus-uhslc,train
hachijyojima-hd11-jpn-jodc_jcg,train
hachinohe-375a-jpn-uhslc,train
hakata-hd18-jpn-jodc_jcg,train
hakodate-364a-jpn-uhslc,train
hamada-ma66-jpn-jodc_jma,train
hamina-ham-fin-cmems,train
hamina_pitajansaari-134254-fin-fmi,train
hammerfest-hft-nor-nhs,train
hanimaadhoo-117b-mdv-uhslc,train
hanko_pikku_kolalahti-134253-fin-fmi,train
haringvliet_10-harvt10-nld-rws,train
harvey-dvhar01-aus-bom,train
hay_point-59511-aus-bom,train
hechthausen-83-deu-wsv,train
helgeroa-hro-nor-nhs,train
hesnaes-hes-dnk-cmems,train
heysham-hey-gbr-bodc,train
hillarys-62237-aus-bom,train
hilo_hawaii-060a-usa-uhslc,train
hirarako-0151-jpn-jodc_pahb,train
hiron_point-134a-bgd-uhslc,train
hiroshima-hd14-jpn-jodc_jcg,train
hobart-339a-aus-uhslc,train
hobart-61220-aus-bom,train
hoek_van_holland-hoekvhld-nld-rws,train
holyhead-hol-gbr-bodc,train
honiara-009b-slb-uhslc,train
honningsvag-801a-nor-uhslc,train
honolulu_hawaii-057b-usa-uhslc,train
hornbaek-hor-dnk-cmems,train
hovell_pile-60721-aus-bom,train
huelva-hue-esp-cmems,train
ibiza-ibi-esp-cmems,train
ilha_fiscal_rj-280a-bra-uhslc,train
immingham-imm-gbr-bodc,train
ishikariko-0145-jpn-jodc_pahb,train
