name,fold
aarhus-aar-dnk-cmems,train
abashiri-347a-jpn-uhslc,train
abashiri-ma02-jpn-jodc_jma,train
aberdeen-abe-gbr-bodc,train
aberdeen-abe-gbr-cmems,train
aburatsu-354a-jpn-uhslc,train
aburatsubo-gs01-jpn-jodc_giaj,train
acajutla-082a-slv-uhslc,train
acapulco-316-mex-unam,train
acapulco_gro-316a-mex-uhslc,train
adak_alaska-040a-usa-uhslc,train
adak_island-9461380-usa-noaa,train
ajaccio_aspretto-300-fra-refmar,train
akune-gs15-jpn-jodc_giaj,train
alameda-9414750-usa-noaa,train
alesund-aes-nor-nhs,train
alexandria_bay_ny-8311062-usa-noaa,train
algeciras-alge-esp-ieo,train
algonac_mi-9014070-usa-noaa,train
alicante_i-ali-esp-da_mm,train
alitak-9457804-usa-noaa,train
almeria-alm-esp-cmems,train
alpena_mi-9075065-usa-noaa,train
amami-ma73-jpn-jodc_jma,train
american_falls_ny-9063009-usa-noaa,train
amherstburg_ontario-11995-can-meds,train
anchorage-9455920-usa-noaa,train
ancona-anx-ita-ispra,train
andenes-800a-nor-uhslc,train
annapolis-8575512-usa-noaa,train
antofagasta-080a-chl-uhslc,train
aomoriko-0104-jpn-jodc_pahb,train
apia-401b-wsm-uhslc,train
apra_harbor_guam-053a-usa-uhslc,train
arena_cove-9416841-usa-noaa,train
argentia-835-can-meds,train
arklowharbour-ark-irl-cmems,train
arrecife-arre-esp-ieo,train
ascension-291a-gbr-uhslc,train
ascension-asc-gbr-noc,train
atka-9461710-usa-noaa,train
atlantic_city-8534720-usa-noaa,train
avonmouth-avo-gbr-cmems,train
awashima-hd25-jpn-jodc_jcg,train
awayuki-ma69-jpn-jodc_jma,train
ayukawa-ma11-jpn-jodc_jma,train
bagenkop-bag-dnk-cmems,train
baie_comeau-2840-can-meds,train
bakar-bak-hrv-uz,train
bake_a-3611-deu-wsv,train
bake_c_scharhorn-3905-deu-wsv,train
ballen-bal-dnk-cmems,train
baltimore-8574680-usa-noaa,train
bamfield_bc-8545-can-meds,train
bangor-ban-gbr-cmems,train
bar_harbor-8413320-usa-noaa,train
bar_point_ontario-12005-can-meds,train
barcelona-bar-esp-cmems,train
bari-bar-ita-ispra,train
barmouth-bar-gbr-bodc,train
barmouth-bar-gbr-cmems,train
barseback-bar-swe-cmems,train
base_prat-730a-chl-uhslc,train
bath-bath-nld-rws,train
batiscan-3345-can-meds,train
bay_waveland_yacht_club-8747437-usa-noaa,train
bayonne_boucau-94-fra-refmar,train
beaufort-8656483-usa-noaa,train
becancour-3353-can-meds,train
beldon_landing-bdl-usa-cdwr,train
bella_bella_bc-8976-can-meds,train
belum-1263-deu-wsv,train
bergen-bgo-nor-nhs,train
berwick-8764044-usa-noaa,train
bhv_alter_leuchtturm-4098-deu-wsv,train
bintulu-387a-mys-uhslc,train
bishops_head-8571421-usa-noaa,train
bodo-boo-nor-nhs,train
bonanza-bon-esp-cmems,train
borkum_fischerbalje-bor-deu-bfg,train
boston-8443970-usa-noaa,train
brake-4096-deu-wsv,train
bremervorde-71-deu-wsv,train
bridgeport-8467150-usa-noaa,train
brockville_ontario-14400-can-meds,train
brokdorf-72-deu-wsv,train
brouwershavensche_gat_08-brouwhvsgt08-nld-rws,train
brunsbuttel_mole_4_pegel-73-deu-wsv,train
bryte_lab-byl-usa-cdwr,train
buenos_aires-285a-arg-uhslc,train
buffalo_ny-9063020-usa-noaa,train
burlington_ontario-13150-can-meds,train
cabo_san_lucas-034-mex-unam,train
cabo_san_lucas-034a-mex-uhslc,train
cadzand-cadzd-nld-rws,train
cagliari-cag-ita-ispra,train
calais-55-fra-refmar,train
calcasieu_pass-8768094-usa-noaa,train
callao-093b-per-uhslc,train
calumet_harbor_il-9087044-usa-noaa,train
cambridge-8571892-usa-noaa,train
cananeia-281a-bra-uhslc,train
cape_hatteras_fishing_pier-8654400-usa-noaa,train
cape_may-8536110-usa-noaa,train
cape_town-704a-zaf-uhslc,train
cape_vincent_ny-9052000-usa-noaa,train
carloforte-car-ita-ispra,train
cartagena-265b-col-uhslc,train
cascais-209a-prt-uhslc,train
castletownbere_port-cas-irl-mi_c,train
catania-cat-ita-ispra,train
cebu-379a-phl-uhslc,train
cendering-320a-mys-uhslc,train
ceuta-207a-esp-uhslc,train
charleston_or-575a-usa-uhslc,train
cherbourg_60minute-che-fra-cmems,train
cherry_point-9449424-usa-noaa,train
chesapeake_bbt-749a-usa-uhslc,train
chesapeake_city-8573927-usa-noaa,train
chiba-hd06-jpn-jodc_jcg,train
chichijima-047a-jpn-uhslc,train
choshigyoko-ma64-jpn-jodc_jma,train
christiansted_harbor-9751364-usa-noaa,train
churchill-274a-can-uhslc,train
civitavecchia-civ-ita-ispra,train
clearwater_bch_fl-773a-usa-uhslc,train
cleveland_oh-9063063-usa-noaa,train
coast_guard_sector_mobile-8736897-usa-noaa,train
cobourg_ontario-13590-can-meds,train
cocos-171a-aus-uhslc,train
collingwood_ontario-11500-can-meds,train
colonial_beach-8635150-usa-noaa,train
concarneau-160-fra-refmar,train
contrecoeur_ioc-15780-can-meds,train
cordemais_60minute-cor-fra-cmems,train
cordova-9454050-usa-noaa,train
cornwall_ontario-14870-can-meds,train
corpus_cristi_tx-770a-usa-uhslc,train
coruna-cor-esp-cmems,train
cranz-76-deu-wsv,train
crescent_city_ca-556a-usa-uhslc,train
cristobal-266a-pan-uhslc,train
crotone-cro-ita-ispra,train
cruz-cruz-esp-ieo,train
culebra-9752235-usa-noaa,train
cutler_naval_base-8411250-usa-noaa,train
cuxhaven-825a-deu-uhslc,train
cuxhaven_steubenhoft-77-deu-wsv,train
dakar-223e-sen-uhslc,train
daugavgriva-dau-lva-cmems,train
dauphin_island_al-763a-usa-uhslc,train
davao-372b-phl-uhslc,train
davis-173a-aus-uhslc,train
de_tour_village_mi-9075099-usa-noaa,train
delaware_city-8551762-usa-noaa,train
delfzijl-delfzl-nld-rws,train
deschaillons-3335-can-meds,train
diego_garcia-104d-gbr-uhslc,train
discovery_bay_at_discovery_bay_blv-dbd-usa-cdwr,train
dover-dov-gbr-bodc,train
drogden-dro-dnk-cmems,train
dry_dock_mi-9014087-usa-noaa,train
dublin_port-dub-irl-mi_c,train
duck_pier_nc-260a-usa-uhslc,train
duluth_mn-9099064-usa-noaa,train
dunkerque-2-fra-refmar,train
durban-181a-zaf-uhslc,train
dutch_harbor_ak-041b-usa-uhslc,train
dwarsgat-4100-deu-wsv,train
easter-022c-chl-uhslc,train
eastport_me-740a-usa-uhslc,train
eemshaven-eemshvn-nld-rws,train
elfin_cove-9452634-usa-noaa,train
elhierro-elh-esp-cmems,train
elsfleth-4102-deu-wsv,train
erieau_ontario-12250-can-meds,train
esashiko-0140-jpn-jodc_pahb,train
esbjerg-esb-dnk-dmi,train
esmeraldas-098a-ecu-uhslc,train
esperanza-9752695-usa-noaa,train
essexville_mi-9075035-usa-noaa,train
euro_platform-eurpfm-nld-rws,train
fairport_oh-9063053-usa-noaa,train
faraday-700a-ata-uhslc,train
farge-4104-deu-wsv,train
ferrol-fer-esp-cmems,train
ferrol2-fer-esp-cmems,train
fishguard-fis-gbr-bodc,train
flores_santa_cruz-210a-prt-uhslc,train
foglo_degerby-134252-fin-fmi,train
forsmark-for-swe-cmems,train
fort_myers-8725520-usa-noaa,train
fort_point-8423898-usa-noaa,train
