status,n_gross_removed,span_years,gap_frac,n_hourly,n_tide_segments,M2_cm,n_spike_removed,mean_cm,std_cm,M2_leak_cm,lowfreq_frac_pct,name,lat,reason
ok,0.0,15.96,0.051,139904.0,2.0,17.0,828.0,-0.02,16.09,0.09,1.0,aarhus-aar-dnk-cmems,56.150002,
ok,0.0,51.0,0.02,447063.0,7.0,16.6,5234.0,-0.07,7.65,0.09,1.7,abashiri-347a-jpn-uhslc,44.017,
ok,0.0,52.0,0.021,455832.0,7.0,16.5,5266.0,-0.07,7.63,0.02,1.7,abashiri-ma02-jpn-jodc_jma,44.01945,
ok,0.0,91.58,0.439,802800.0,11.0,130.4,697.0,-0.01,14.0,0.18,1.4,aberdeen-abe-gbr-bodc,57.144028,
ok,0.0,31.08,0.065,272494.0,4.0,129.9,807.0,0.03,14.49,0.1,1.6,aberdeen-abe-gbr-cmems,57.150002,
ok,0.0,58.0,0.002,508407.0,8.0,52.7,2470.0,-0.06,6.52,0.05,2.6,aburatsu-354a-jpn-uhslc,31.583,
ok,0.0,59.0,0.003,517176.0,8.0,52.6,2564.0,-0.05,6.51,0.02,2.6,aburatsu-ma41-jpn-jodc_jma,31.57695,
ok,0.0,87.0,0.049,762624.0,11.0,33.4,4407.0,-0.05,7.39,0.14,1.8,aburatsubo-gs01-jpn-jodc_giaj,35.16,
ok,0.0,39.04,0.035,342211.0,5.0,74.6,15.0,0.0,6.16,1.51,2.4,acajutla-082a-slv-uhslc,13.583,
ok,0.0,66.0,0.265,578568.0,8.0,19.0,55.0,-0.0,5.21,0.19,3.2,acapulco-316-mex-unam,16.83833333,
ok,0.0,43.67,0.091,382794.0,6.0,19.0,17.0,-0.0,5.29,0.05,3.0,acapulco_gro-316a-mex-uhslc,16.84,
ok,0.0,68.79,0.075,603047.0,9.0,19.1,1588.0,-0.0,11.47,0.02,2.1,adak_alaska-040a-usa-uhslc,51.863,
ok,0.0,71.66,0.077,628223.0,9.0,19.1,1585.0,-0.01,11.58,0.04,2.0,adak_island-9461380-usa-noaa,51.863306,
rejected,0.0,39.18,0.51,343490.0,,,,,,,,ajaccio_60minute-aja-fra-cmems,41.922699,gap 0.51>0.5
ok,0.0,39.43,0.498,345679.0,4.0,7.0,1320.0,-0.02,5.7,0.0,3.3,ajaccio_aspretto-300-fra-refmar,41.92279816,
ok,0.0,50.0,0.017,438288.0,7.0,79.4,103.0,-0.0,6.5,0.18,2.4,akune-gs15-jpn-jodc_giaj,32.0175,
ok,0.0,45.66,0.081,400319.0,6.0,66.6,35.0,-0.0,6.33,0.07,2.2,alameda-9414750-usa-noaa,37.7717,
ok,0.0,59.58,0.119,522320.0,8.0,7.6,727.0,-0.0,10.74,0.06,1.7,albany-62120-aus-bom,-35.0337,
ok,0.0,14.41,0.0,126344.0,2.0,51.3,103.0,-0.01,19.37,0.82,1.7,alblasserdam-albsdm-nld-rws,51.865835,
rejected,0.0,59.44,0.627,521112.0,,,,,,,,alert-3765-can-meds,82.49,gap 0.627>0.5
ok,0.0,30.6,0.009,268214.0,4.0,128.2,46.0,-0.0,11.19,0.18,2.2,alert_bay_bc-8280-can-meds,50.59,
ok,0.0,60.0,0.046,525947.0,8.0,61.3,2625.0,-0.02,13.72,0.01,2.1,alesund-aes-nor-nhs,62.469414,
ok,0.0,19.0,0.007,166560.0,3.0,7.2,692.0,-0.02,6.34,0.06,3.4,alexandria-ale-egy-noc,31.2167,
ok,0.0,38.58,0.018,338236.0,5.0,0.7,478.0,0.0,4.58,0.01,3.2,alexandria_bay_ny-8311062-usa-noaa,44.33111,
ok,0.0,73.0,0.221,639912.0,10.0,32.1,72.0,0.01,6.79,0.28,2.2,algeciras-alge-esp-ieo,36.117,
ok,0.0,51.58,0.019,452188.0,7.0,0.1,1058.0,-0.01,4.56,0.01,3.8,algonac_mi-9014070-usa-noaa,42.621113,
ok,0.0,61.83,0.067,542063.0,8.0,1.8,152.0,-0.0,6.79,0.01,2.6,alicante_i-ali-esp-da_mm,38.338271,
rejected,0.0,148.5,0.546,1301760.0,,,,,,,,alicante_i_outer_harbour-alio-esp-da_mm,38.338271,gap 0.546>0.5
ok,0.0,15.58,0.054,136583.0,2.0,134.9,20.0,-0.01,11.81,0.09,2.0,alitak-9457804-usa-noaa,56.8974,
ok,0.0,15.08,0.022,132225.0,2.0,9.5,681.0,-0.01,5.74,0.03,2.9,almeria-alm-esp-cmems,36.830002,
ok,0.0,15.58,0.023,136612.0,2.0,0.2,5.0,0.0,4.43,0.01,1.0,alpena_mi-9075065-usa-noaa,45.063,
rejected,0.0,61.0,0.637,534744.0,,,,,,,,alvarado-400-mex-unam,18.76616667,gap 0.637>0.5
ok,0.0,23.0,0.048,201600.0,3.0,56.1,410.0,-0.03,4.96,0.01,3.1,amami-ma73-jpn-jodc_jma,28.3228,
ok,0.0,45.59,0.013,399604.0,6.0,0.2,705.0,0.01,7.48,0.01,1.2,american_falls_ny-9063009-usa-noaa,43.08106,
ok,0.0,59.45,0.033,521119.0,8.0,1.1,683.0,0.0,8.38,0.04,1.2,amherstburg_ontario-11995-can-meds,42.14,
ok,0.0,43.58,0.123,382031.0,6.0,343.9,47.0,-0.0,23.36,0.44,0.6,anchorage-9455920-usa-noaa,61.2375,
ok,0.0,34.69,0.164,304079.0,5.0,6.6,217.0,-0.02,9.34,0.1,2.9,ancona-anx-ita-ispra,43.62476667,
ok,0.0,27.23,0.006,238684.0,4.0,66.3,11736.0,-0.11,12.18,0.12,2.1,andenes-800a-nor-uhslc,69.317,
ok,0.0,29.0,0.005,254232.0,4.0,66.4,12843.0,-0.13,12.17,0.05,2.1,andenes-anx-nor-nhs,69.326067,
ok,0.0,93.66,0.052,821087.0,12.0,11.2,56676.0,0.15,15.55,0.09,1.0,annapolis-8575512-usa-noaa,38.98328,
ok,0.0,73.07,0.064,640532.0,10.0,37.3,68.0,-0.0,3.89,0.13,2.8,antofagasta-080a-chl-uhslc,-23.653,
ok,0.0,58.0,0.122,508416.0,8.0,18.9,508.0,-0.0,7.76,0.25,1.3,aomoriko-0104-jpn-jodc_pahb,40.83528333,
ok,0.0,45.58,0.026,399575.0,6.0,10.7,3224.0,-0.08,11.97,0.14,1.2,apalachicola-8728690-usa-noaa,29.724444,
ok,0.0,42.75,0.013,374755.0,6.0,10.7,3485.0,-0.09,11.98,0.38,1.2,apalachicola_fl-760a-usa-uhslc,29.727,
ok,0.0,18.0,0.117,157763.0,3.0,37.4,5.0,0.0,5.42,0.39,1.1,apia-401a-wsm-uhslc,-13.817,
ok,0.0,25.84,0.032,226535.0,4.0,39.0,20.0,-0.0,2.91,0.22,2.3,apia-401b-wsm-uhslc,-13.82,
ok,0.0,26.84,0.031,235295.0,4.0,39.0,27.0,-0.0,2.91,0.12,2.3,apia-66840-wsm-bom,-13.8268,
ok,0.0,45.66,0.082,400319.0,6.0,22.2,15.0,-0.0,3.92,0.1,2.2,apra_harbor-1630000-usa-noaa,13.44339,
ok,0.0,70.81,0.065,620731.0,9.0,21.8,17.0,-0.0,3.89,0.11,2.1,apra_harbor_guam-053a-usa-uhslc,13.433,
rejected,0.0,51.34,0.643,450058.0,,,,,,,,arcachon_eyrac-190-fra-refmar,44.66500092,gap 0.643>0.5
rejected,0.0,52.84,0.63,463226.0,,,,,,,,arcachoneyrac_60minute-arc-fra-cmems,44.665001,gap 0.63>0.5
ok,0.0,42.58,0.2,373271.0,6.0,56.7,64.0,-0.0,7.61,0.06,2.5,arena_cove-9416841-usa-noaa,38.914556,
ok,0.0,39.42,0.199,345547.0,5.0,56.7,59.0,-0.01,7.61,0.25,2.5,arena_cove_ca-573a-usa-uhslc,38.913,
