name,lat,lon,M2_cm,S2_cm,K1_cm,O1_cm,form_factor,tidal_range_m,surge_std_cm,surge_p99_cm,surge_max_m
aarhus-aar-dnk-cmems,56.15,10.2167,16.3,3.8,0.1,3.1,0.158,0.464,16.1,48.5,1.54
abashiri-347a-jpn-uhslc,44.017,144.283,17.0,7.8,21.3,22.0,1.738,1.363,7.6,21.3,0.58
abashiri-ma02-jpn-jodc_jma,44.0194,144.2858,17.0,7.8,21.3,21.9,1.736,1.361,7.6,21.3,0.58
aberdeen-abe-gbr-bodc,57.144,-2.0802,128.6,43.4,11.3,12.5,0.138,3.914,14.0,41.0,1.25
aberdeen-abe-gbr-cmems,57.15,-2.0833,128.2,43.5,11.2,12.6,0.139,3.911,14.5,42.4,1.25
aburatsu-354a-jpn-uhslc,31.583,131.417,52.0,22.8,22.6,17.6,0.536,2.3,6.5,17.8,0.89
aburatsu-ma41-jpn-jodc_jma,31.577,131.4094,52.0,22.8,22.5,17.5,0.536,2.297,6.5,17.8,0.9
aburatsubo-gs01-jpn-jodc_giaj,35.16,139.6155,36.1,17.1,23.2,18.1,0.778,1.889,7.4,20.0,1.12
acajutla-082a-slv-uhslc,13.583,-89.833,74.4,15.0,9.9,5.5,0.171,2.096,6.2,16.0,0.6
acapulco-316-mex-unam,16.8383,-99.9033,17.9,7.8,11.8,9.2,0.815,0.935,5.2,13.8,0.67
acapulco_gro-316a-mex-uhslc,16.84,-99.912,17.7,7.9,11.5,8.5,0.782,0.914,5.3,13.9,1.01
adak_alaska-040a-usa-uhslc,51.863,-176.632,19.3,1.8,41.8,28.4,3.336,1.825,11.5,29.4,0.9
adak_island-9461380-usa-noaa,51.8633,-176.632,19.3,1.8,41.8,28.3,3.338,1.823,11.6,29.4,1.68
ajaccio_aspretto-300-fra-refmar,41.9228,8.7628,7.8,3.1,3.5,1.6,0.476,0.32,5.7,16.1,0.31
akune-gs15-jpn-jodc_giaj,32.0175,130.1911,78.4,34.8,25.5,20.0,0.402,3.172,6.5,17.5,0.97
