name,lat,lon,cluster,source,max_abs
aarhus-aar-dnk-cmems,56.15,10.2167,861,cmems,1.539487580537544
abashiri-347a-jpn-uhslc,44.017,144.283,227,uhslc,0.5807341727131615
abashiri-ma02-jpn-jodc_jma,44.0194,144.2858,227,jodc_jma,0.5759448993496745
aberdeen-abe-gbr-bodc,57.144,-2.0802,721,bodc,1.2463550721202863
aberdeen-abe-gbr-cmems,57.15,-2.0833,721,cmems,1.6991401508444803
aburatsu-354a-jpn-uhslc,31.583,131.417,488,uhslc,0.8885255633329132
aburatsu-ma41-jpn-jodc_jma,31.577,131.4094,488,jodc_jma,0.8953598356640282
aburatsubo-gs01-jpn-jodc_giaj,35.16,139.6155,701,jodc_giaj,1.2128575649294864
acajutla-082a-slv-uhslc,13.583,-89.833,249,uhslc,0.6021257438128623
acapulco-316-mex-unam,16.8383,-99.9033,335,unam,0.7129205635096089
acapulco_gro-316a-mex-uhslc,16.84,-99.912,335,uhslc,1.0071528762737163
adak_alaska-040a-usa-uhslc,51.863,-176.632,498,uhslc,0.9021685513299108
adak_island-9461380-usa-noaa,51.8633,-176.632,498,noaa,1.864938859306472
ajaccio_aspretto-300-fra-refmar,41.9228,8.7628,33,refmar,0.3109668265646025
akune-gs15-jpn-jodc_giaj,32.0175,130.1911,553,jodc_giaj,0.973945290829306
alameda-9414750-usa-noaa,37.7717,-122.3,273,noaa,0.6393821250932197
albany-62120-aus-bom,-35.0337,117.8926,226,bom,0.5755869900505469
alert_bay_bc-8280-can-meds,50.59,-126.93,774,meds,1.355619904205252
alesund-aes-nor-nhs,62.4694,6.1519,618,nhs,1.0702946776192088
alexandria-ale-egy-noc,31.2167,29.9167,102,noc,0.4462034612888119
alexandria_bay_ny-8311062-usa-noaa,44.3311,-75.9345,220,noaa,0.5740710023690383
algeciras-alge-esp-ieo,36.117,-5.4333,547,ieo,0.9671846370757852
algonac_mi-9014070-usa-noaa,42.6211,-82.5267,139,noaa,0.4903371461128183
alicante_i-ali-esp-da_mm,38.3383,-0.4779,182,da_mm,0.5428166657286491
alitak-9457804-usa-noaa,56.8974,-154.248,349,noaa,0.7236754315406058
almeria-alm-esp-cmems,36.83,-2.478,34,cmems,0.3118682943312407
alpena_mi-9075065-usa-noaa,45.063,-83.4286,69,noaa,0.380656015338641
amami-ma73-jpn-jodc_jma,28.3228,129.5342,500,jodc_jma,0.903684414555422
american_falls_ny-9063009-usa-noaa,43.0811,-79.0614,257,noaa,0.6071022042878403
amherstburg_ontario-11995-can-meds,42.14,-83.11,563,meds,0.9961883587706434
anchorage-9455920-usa-noaa,61.2375,-149.8904,1012,noaa,2.156812102782133
ancona-anx-ita-ispra,43.6248,13.5065,683,ispra,1.1810315434438572
andenes-800a-nor-uhslc,69.317,16.15,336,uhslc,0.7143777020316937
andenes-anx-nor-nhs,69.3261,16.1348,336,nhs,0.716304108762079
annapolis-8575512-usa-noaa,38.9833,-76.4816,885,noaa,1.6082953891243508
antofagasta-080a-chl-uhslc,-23.653,-70.405,379,uhslc,0.7632961044802673
aomoriko-0104-jpn-jodc_pahb,40.8353,140.7639,194,jodc_pahb,0.5569702148605774
apalachicola-8728690-usa-noaa,29.7244,-84.9806,903,noaa,1.7178421083479072
apalachicola_fl-760a-usa-uhslc,29.727,-84.982,903,uhslc,1.651267978262353
apia-401a-wsm-uhslc,-13.817,-171.75,18,uhslc,0.3971780187696641
apia-401b-wsm-uhslc,-13.82,-171.757,18,uhslc,0.2662965375030703
apia-66840-wsm-bom,-13.8268,-171.7613,18,bom,0.2663176050743344
apra_harbor-1630000-usa-noaa,13.4434,144.6564,320,noaa,0.6967393017687298
apra_harbor_guam-053a-usa-uhslc,13.433,144.65,320,uhslc,0.6921757847860697
arena_cove-9416841-usa-noaa,38.9146,-123.7111,565,noaa,0.9988248174829054
arena_cove_ca-573a-usa-uhslc,38.913,-123.708,565,uhslc,0.9992229751243196
argentia-835-can-meds,47.3,-53.98,760,meds,1.3230170163820876
arica-083a-chl-uhslc,-18.467,-70.333,104,uhslc,0.4476776668679036
arklowharbour-ark-irl-cmems,52.792,-6.1452,912,cmems,1.6662395606924023
arrecife-205a-esp-uhslc,28.95,-13.567,228,uhslc,0.5778966628443107
arrecife-arre-esp-ieo,28.9718,-13.53,869,ieo,1.5685842902986291
asamushi-gs06-jpn-jodc_giaj,40.8975,140.8592,546,jodc_giaj,0.9668724910898948
ascension-291a-gbr-uhslc,-7.917,-14.417,1,uhslc,0.1582720675837897
ascension-asc-gbr-noc,-7.8928,-14.3857,72,noc,0.3864542574913722
astoria-9439040-usa-noaa,46.2073,-123.7683,617,noaa,1.064790419226806
astoria_downtown-9439040-usa-da_sat,46.1901,-123.8292,943,da_sat,1.763471896112648
astoria_or-572a-usa-uhslc,46.208,-123.767,617,uhslc,2.0583803375161707
atka-9461710-usa-noaa,52.232,-174.1726,151,noaa,0.5030009311490671
atlantic_city-8534720-usa-noaa,39.3567,-74.4181,845,noaa,1.5079092917482977
atlantic_city_nj-264a-usa-uhslc,39.355,-74.418,845,uhslc,1.5087001067335448
avonmouth-avo-gbr-cmems,51.5071,-2.7114,1113,cmems,3.032289935236184
awashima-hd25-jpn-jodc_jcg,38.4678,139.255,253,jodc_jcg,0.6037983008440225
awayuki-ma69-jpn-jodc_jma,33.7711,134.5922,367,jodc_jma,0.7445968401662879
ayukawa-ma11-jpn-jodc_jma,38.2967,141.5053,130,jodc_jma,0.4772304375894327
bagenkop-bag-dnk-cmems,54.7528,10.6778,847,cmems,1.5115788413660376
bahia_los_angeles-310a-mex-uhslc,28.958,-113.55,103,uhslc,0.4473634637670023
baie_comeau-2840-can-meds,49.23,-68.13,816,meds,1.4423641060601158
bakar-bak-hrv-uz,45.3,14.533,408,uz,0.7969984274736908
bake_a-3611-deu-wsv,53.9844,8.3151,1111,wsv,3.00688200579999
bake_c_scharhorn-3905-deu-wsv,53.9699,8.468,1125,wsv,3.318732134864854
ballen-bal-dnk-cmems,55.8167,10.6444,801,cmems,1.409652067353983
baltimore-8574680-usa-noaa,39.2669,-76.5794,980,noaa,1.9964259209715824
baltra-003b-ecu-uhslc,-0.437,-90.285,473,uhslc,0.8697708831974014
bamfield_bc-8545-can-meds,48.84,-125.14,383,meds,0.7702846797736065
bangor-ban-gbr-bodc,54.6647,-5.6695,640,bodc,1.1062612601017707
bangor-ban-gbr-cmems,54.665,-5.6692,640,cmems,1.104889494097121
bar_harbor-8413320-usa-noaa,44.3922,-68.2043,754,noaa,1.3079536947117212
bar_point_ontario-12005-can-meds,42.06,-83.11,812,meds,1.436762891004808
barcelona-bar-esp-cmems,41.342,2.163,157,cmems,0.5099892917362758
bari-bar-ita-ispra,41.1402,16.866,578,ispra,1.0175204953186603
barmouth-bar-gbr-bodc,52.7193,-4.045,969,bodc,2.0478958685307727
barmouth-bar-gbr-cmems,52.7167,-4.0333,969,cmems,1.864530456083726
barseback-bar-swe-cmems,55.7564,12.9033,782,cmems,1.3655259588697208
