stn,n_joined,n_surge
aarhus-aar-dnk-cmems,131717,131886
abashiri-347a-jpn-uhslc,424370,432812
abashiri-ma02-jpn-jodc_jma,440558,440558
aberdeen-abe-gbr-bodc,141452,438264
aberdeen-abe-gbr-cmems,253128,253394
aburatsu-354a-jpn-uhslc,504858,504858
aburatsubo-gs01-jpn-jodc_giaj,658761,720102
acajutla-082a-slv-uhslc,330223,330223
acapulco-316-mex-unam,421612,421612
acapulco_gro-316a-mex-uhslc,344463,348009
adak_alaska-040a-usa-uhslc,161248,554605
adak_island-9461380-usa-noaa,568540,576568
ajaccio_aspretto-300-fra-refmar,155127,170940
akune-gs15-jpn-jodc_giaj,430870,430870
alameda-9414750-usa-noaa,364079,367850
albany-62120-aus-bom,458841,458841
alesund-aes-nor-nhs,498458,498458
alexandria_bay_ny-8311062-usa-noaa,117507,331552
algeciras-alge-esp-ieo,100860,498356
algonac_mi-9014070-usa-noaa,186329,442304
alicante_i-ali-esp-da_mm,60175,505026
alitak-9457804-usa-noaa,128982,128982
almeria-alm-esp-cmems,128540,128540
alpena_mi-9075065-usa-noaa,133492,133492
amami-ma73-jpn-jodc_jma,167088,191534
american_falls_ny-9063009-usa-noaa,187892,393610
amherstburg_ontario-11995-can-meds,115997,502345
anchorage-9455920-usa-noaa,186746,335009
ancona-anx-ita-ispra,185946,253263
andenes-800a-nor-uhslc,158734,225321
annapolis-8575512-usa-noaa,168094,721442
antofagasta-080a-chl-uhslc,157515,599169
aomoriko-0104-jpn-jodc_pahb,64616,445780
apalachicola_fl-760a-usa-uhslc,161706,366510
apia-401b-wsm-uhslc,159117,219036
apra_harbor_guam-053a-usa-uhslc,61033,579230
arena_cove-9416841-usa-noaa,118653,298403
argentia-835-can-meds,176291,405003
arklowharbour-ark-irl-cmems,152028,152028
arrecife-arre-esp-ieo,97972,465209
asamushi-gs06-jpn-jodc_giaj,174257,554766
ascension-291a-gbr-uhslc,68056,117980
ascension-asc-gbr-noc,67613,117943
astoria-9439040-usa-noaa,187070,832620
atka-9461710-usa-noaa,116864,116864
atlantic_city-8534720-usa-noaa,73539,912138
avonmouth-avo-gbr-cmems,113718,186152
awashima-hd25-jpn-jodc_jcg,167913,448728
awayuki-ma69-jpn-jodc_jma,121967,124941
ayukawa-ma11-jpn-jodc_jma,157434,438189
bagenkop-bag-dnk-cmems,107658,107658
baie_comeau-2840-can-meds,0,177038
bakar-bak-hrv-uz,87649,375522
bake_a-3611-deu-wsv,134029,134029
bake_c_scharhorn-3905-deu-wsv,160731,178231
