stn,fold,country,n_surge,n_joined,n_masked_out,big4
abashiri-ma02-jpn-jodc_jma,train,jpn,440558,440558,8443,0
aberdeen-abe-gbr-bodc,train,gbr,438264,141452,226,0
aburatsu-354a-jpn-uhslc,train,jpn,504858,504858,9011,0
acajutla-082a-slv-uhslc,train,slv,330223,330223,3550,0
acapulco-316-mex-unam,train,mex,421612,421612,4406,0
adak_alaska-040a-usa-uhslc,train,usa,554605,161248,2948,0
ajaccio_aspretto-300-fra-refmar,train,fra,170940,155127,0,0
akune-gs15-jpn-jodc_giaj,train,jpn,430870,430870,6728,0
albany-62120-aus-bom,train,aus,458841,458841,3127,0
alesund-aes-nor-nhs,train,nor,498458,498458,2051,0
algeciras-alge-esp-ieo,train,esp,498356,100860,0,0
alicante_i-ali-esp-da_mm,train,esp,505026,60175,0,0
alitak-9457804-usa-noaa,train,usa,128982,128982,1664,0
almeria-alm-esp-cmems,train,esp,128540,128540,0,0
alpena_mi-9075065-usa-noaa,train,usa,133492,133492,1036,0
amami-ma73-jpn-jodc_jma,train,jpn,191534,167088,3528,0
american_falls_ny-9063009-usa-noaa,train,usa,393610,187892,1132,0
amherstburg_ontario-11995-can-meds,train,can,502345,115997,870,0
ancona-anx-ita-ispra,train,ita,253263,185946,0,0
annapolis-8575512-usa-noaa,train,usa,721442,168094,1288,0
antofagasta-080a-chl-uhslc,train,chl,599169,157515,1976,0
aomoriko-0104-jpn-jodc_pahb,train,jpn,445780,64616,1092,0
apalachicola_fl-760a-usa-uhslc,train,usa,366510,161706,1343,0
apia-401b-wsm-uhslc,train,wsm,219036,159117,2783,0
apra_harbor_guam-053a-usa-uhslc,train,usa,579230,61033,1552,0
arena_cove-9416841-usa-noaa,train,usa,298403,118653,1334,0
argentia-835-can-meds,train,can,405003,176291,676,0
arklowharbour-ark-irl-cmems,train,irl,152028,152028,169,0
asamushi-gs06-jpn-jodc_giaj,train,jpn,554766,174257,4287,0
ascension-291a-gbr-uhslc,train,gbr,117980,68056,338,0
ascension-asc-gbr-noc,train,gbr,117943,67613,338,0
atka-9461710-usa-noaa,train,usa,116864,116864,1931,0
avonmouth-avo-gbr-cmems,train,gbr,186152,113718,0,0
awashima-hd25-jpn-jodc_jcg,train,jpn,448728,167913,3952,0
ayukawa-ma11-jpn-jodc_jma,train,jpn,438189,157434,3450,0
bagenkop-bag-dnk-cmems,train,dnk,107658,107658,169,0
baie_comeau-2840-can-meds,train,can,177038,0,0,0
bake_a-3611-deu-wsv,train,deu,134029,134029,169,0
bake_c_scharhorn-3905-deu-wsv,train,deu,178231,160731,169,0
baltimore-8574680-usa-noaa,train,usa,992362,179553,1317,0
baltra-003b-ecu-uhslc,train,ecu,263249,137212,1524,0
bamfield_bc-8545-can-meds,train,can,441228,184572,1830,0
bangor-ban-gbr-cmems,train,gbr,184798,151165,167,0
bar_point_ontario-12005-can-meds,train,can,472656,472656,2391,0
barcelona-bar-esp-cmems,train,esp,235543,235543,97,0
bari-bar-ita-ispra,train,ita,259248,259248,251,0
barmouth-bar-gbr-cmems,train,gbr,206109,206109,169,0
batemans_bay_princess_jetty-216410-aus-bom,train,aus,197030,197030,2103,0
bath-bath-nld-rws,train,nld,417930,417930,460,0
batiscan-3345-can-meds,train,can,715350,603434,3199,0
bay_waveland_yacht_club-8747437-usa-noaa,train,usa,275865,275865,2687,0
bayonne_boucau-94-fra-refmar,train,fra,369524,369524,364,0
beaufort-8656483-usa-noaa,train,usa,409651,74250,863,0
becancour-3353-can-meds,train,can,242655,71010,506,0
bella_bella_bc-8976-can-meds,train,can,512433,183601,1590,0
benoa-163a-idn-uhslc,train,idn,97591,19721,746,0
bergen-bgo-nor-nhs,train,nor,828086,183433,455,0
bergen_point_west_reach-8519483-usa-noaa,train,usa,328796,183791,1205,0
bergse_diepsluis_west-bergsdswt-nld-rws,train,nld,253879,163666,169,0
berwick-8764044-usa-noaa,train,usa,151787,64697,683,0
bilbao-bil-esp-cmems,train,esp,248599,183166,0,0
bishops_head-8571421-usa-noaa,train,usa,136702,95524,570,0
bluff-072a-nzl-uhslc,train,nzl,199713,153731,2013,0
bodo-boo-nor-nhs,train,nor,530019,112388,336,0
bonanza-bon-esp-cmems,train,esp,244134,181058,0,0
booby_island-336a-aus-uhslc,train,aus,254968,162095,5016,0
boston-8443970-usa-noaa,train,usa,867737,117897,759,0
botany_bay-60390-aus-bom,train,aus,301259,173045,2408,0
bournemouth-bou-gbr-bodc,train,gbr,150796,119847,0,0
bremer_bay-bbbre01-aus-bom,train,aus,175011,164606,1661,0
brest-822a-fra-uhslc,train,fra,1390242,165842,0,0
bridgeport-8467150-usa-noaa,train,usa,439627,184614,1085,0
brisbane_bar-59980-aus-bom,train,aus,415048,174143,3904,0
brockville_ontario-14400-can-meds,train,can,349928,185362,942,0
broome-166a-aus-uhslc,train,aus,254774,162452,4088,0
brouwershavensche_gat_08-brouwhvsgt08-nld-rws,train,nld,338050,162793,169,0
brunswick_heads-202403-aus-bom,train,aus,277144,168224,3733,0
bryte_lab-byl-usa-cdwr,train,usa,316011,177808,2264,0
buenos_aires-285a-arg-uhslc,train,arg,483392,187059,1659,2
bundaberg_burnett_heads-59820-aus-bom,train,aus,457102,457102,7603,0
burlington_ontario-13150-can-meds,train,can,425197,425197,1704,0
burnie-344a-aus-uhslc,train,aus,227943,227943,2282,0
cabo_san_lucas-034a-mex-uhslc,train,mex,215026,215026,1742,0
caddadup-dvcad01-aus-bom,train,aus,214960,214960,2273,0
cadzand-cadzd-nld-rws,train,nld,417866,417866,459,0
cagliari-cag-ita-ispra,train,ita,225938,155878,0,0
calcasieu_pass-8768094-usa-noaa,train,usa,152818,152818,1454,0
callao-093b-per-uhslc,train,per,406933,144082,1653,0
calumet_harbor_il-9087044-usa-noaa,train,usa,438702,118508,966,0
cambridge-8571892-usa-noaa,train,usa,353024,73175,744,0
cananeia-281a-bra-uhslc,train,bra,457094,56153,363,0
cape_ferguson-h033007a-aus-bom,train,aus,208296,173334,3906,0
cape_hatteras_fishing_pier-8654400-usa-noaa,train,usa,190895,8651,266,0
cape_may-8536110-usa-noaa,train,usa,444334,75417,771,0
cape_town-704a-zaf-uhslc,train,zaf,290051,81188,169,0
cardwell-h035012a-aus-bom,train,aus,205350,172086,3989,0
carloforte-car-ita-ispra,train,ita,188610,183897,0,0
carnarvon-167a-aus-uhslc,train,aus,266193,163120,2889,0
cascais-209a-prt-uhslc,train,prt,362735,45416,0,0
castletownbere_port-cas-irl-mi_c,train,irl,122216,122216,169,0
catania-cat-ita-ispra,train,ita,333384,183099,0,0
cebu-379a-phl-uhslc,train,phl,115763,98444,3496,0
cendering-320a-mys-uhslc,train,mys,262892,34049,850,0
ceuta-207a-esp-uhslc,train,esp,622209,156598,0,0
charchanga-138a-bgd-uhslc,train,bgd,178305,8725,169,0
charleston_or-575a-usa-uhslc,train,usa,393208,166343,1644,0
charleston_sc-261b-usa-uhslc,train,usa,839884,166491,1402,0
charlottetown-1700-can-meds,train,can,791591,175301,845,0
cherbourg_60minute-che-fra-cmems,train,fra,405049,179494,0,0
chesapeake_bbt-749a-usa-uhslc,train,usa,363441,78292,266,0
chesapeake_city-8573927-usa-noaa,train,usa,238434,65908,592,0
chichijima-047a-jpn-uhslc,train,jpn,381884,61177,1163,0
choshigyoko-ma64-jpn-jodc_jma,train,jpn,388979,159991,4213,0
