ALL WINDOWS  vs  CONTINUOUS WINDOWS ONLY   (pooled% | @8h% | NNSE@8h | p99.9 window% | high-water% | peak capture | q99 capture | peak COVERED% | tail cov)

deployment 84        all   +39 |  +31 | 0.786 |  +45 |  +43 | 0.60 | 0.94 |  46.0 | 0.78   (windows 239757, 71% continuous)
                     cont  +37 |  +30 | 0.782 |  +46 |  +45 | 0.59 | 0.93 |  41.3 | 0.75

rotation Japan       all   +35 |  +26 | 0.808 |  +43 |  +41 | 0.65 | 0.99 |  53.6 | 0.77   (windows 262591, 55% continuous)
                     cont  +30 |  +23 | 0.803 |  +39 |  +34 | 0.59 | 0.93 |  46.3 | 0.73

rotation Europe      all   +13 |  +12 | 0.719 |  +24 |  +16 | 0.39 | 0.70 |  25.5 | 0.54   (windows 665322, 67% continuous)
                     cont  +11 |  +11 | 0.719 |  +23 |  +16 | 0.38 | 0.69 |  23.2 | 0.54

rotation N America   all   +12 |  +10 | 0.687 |  +22 |  +20 | 0.45 | 0.79 |  29.6 | 0.57   (windows 658662, 70% continuous)
                     cont  +10 |   +9 | 0.680 |  +22 |  +20 | 0.41 | 0.76 |  26.2 | 0.54

rotation Oceania (median run) all   +11 |  +10 | 0.731 |  +16 |  +11 | 0.45 | 0.76 |  26.1 | 0.51   (windows 343965, 80% continuous)
                     cont   +8 |   +9 | 0.727 |  +14 |  +10 | 0.43 | 0.75 |  25.7 | 0.52

Europe 299 arm       all    +3 |   +7 | 0.698 |  +18 |   +5 | 0.31 | 0.60 |  19.2 | 0.43   (windows 665322, 67% continuous)
                     cont   -0 |   +7 | 0.698 |  +17 |   +4 | 0.29 | 0.59 |  17.2 | 0.42

ladder 64            all   +21 |  +17 | 0.731 |  +28 |  +28 | 0.50 | 0.84 |  38.3 | 0.71   (windows 239757, 71% continuous)
                     cont  +19 |  +17 | 0.728 |  +28 |  +26 | 0.48 | 0.82 |  34.1 | 0.69

ladder 128           all   +26 |  +21 | 0.745 |  +32 |  +32 | 0.52 | 0.90 |  41.8 | 0.74   (windows 239757, 71% continuous)
                     cont  +24 |  +20 | 0.740 |  +33 |  +32 | 0.51 | 0.89 |  38.5 | 0.72

ladder 256           all   +30 |  +23 | 0.756 |  +35 |  +34 | 0.54 | 0.90 |  43.8 | 0.75   (windows 239757, 71% continuous)
                     cont  +28 |  +23 | 0.753 |  +35 |  +34 | 0.53 | 0.89 |  39.6 | 0.73

ladder 384           all   +34 |  +27 | 0.769 |  +40 |  +38 | 0.56 | 0.91 |  42.9 | 0.76   (windows 239757, 71% continuous)
                     cont  +31 |  +27 | 0.766 |  +40 |  +39 | 0.54 | 0.89 |  38.2 | 0.73

ladder 512           all   +37 |  +29 | 0.778 |  +43 |  +40 | 0.57 | 0.93 |  45.8 | 0.77   (windows 239757, 71% continuous)
                     cont  +35 |  +28 | 0.774 |  +44 |  +43 | 0.56 | 0.92 |  40.5 | 0.74

ladder 640           all   +38 |  +31 | 0.784 |  +44 |  +42 | 0.59 | 0.97 |  51.0 | 0.80   (windows 239757, 71% continuous)
                     cont  +36 |  +30 | 0.779 |  +46 |  +45 | 0.58 | 0.96 |  46.2 | 0.78

298 stratified       all   +31 |  +25 | 0.759 |  +39 |  +38 | 0.55 | 0.91 |  42.9 | 0.76   (windows 239757, 71% continuous)
                     cont  +29 |  +24 | 0.755 |  +40 |  +39 | 0.53 | 0.89 |  38.4 | 0.73

298 USA+JPN          all   +12 |   +0 | 0.664 |  +13 |   +3 | 0.39 | 0.84 |  37.3 | 0.70   (windows 239757, 71% continuous)
                     cont   +7 |   -2 | 0.655 |  +15 |   +6 | 0.38 | 0.81 |  33.6 | 0.68

