iso3,name,share_year,share_below5m,pop2023,region,income,pop_below5m,status,agency,system,corpus_gauges,test_gauges
CHN,China,2015,4.87880231853816,1410710000,East Asia & Pacific,Upper middle income,68825752.18784967,national,National Marine Environmental Forecasting Center (NMEFC; Ministry of Natural Resources),National Marine Forecasting Station storm surge forecasts and colour-coded warnings (blue/yellow/orange/red),2,0
VNM,Viet Nam,2015,29.6698131367696,100352192,East Asia & Pacific,Upper middle income,29774307.845052253,national,National Centre for Hydro-Meteorological Forecasting (NCHMF; Viet Nam Meteorological and Hydrological Administration),Nuoc dang (storm surge) forecast: maximum surge field for the next 3 days; storm and monsoon surge along the coast,1,0
IND,India,2015,1.88001213009684,1438069596,South Asia,Lower middle income,27035882.84403462,national,INCOIS (Ministry of Earth Sciences) with India Meteorological Department,"Storm Surge Early Warning System (SSEWS), 24x7 warning centre",0,0
IDN,Indonesia,2015,8.81766119912081,281190067,East Asia & Pacific,Upper middle income,24794387.43364081,national,BMKG (Badan Meteorologi Klimatologi dan Geofisika),"Indonesian Coastal Inundation Forecasting System (InaCIFS, from CIFDP-Indonesia); Peringatan Dini Banjir Rob (coastal flood early warning)",4,0
EGY,"Egypt, Arab Rep.",2015,16.3449056045819,114535772,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,18720763.816879146,none_found,Egyptian Meteorological Authority (EMA),,0,0
JPN,Japan,2015,12.4425842555292,124516650,East Asia & Pacific,High income,15493089.0884124,national,Japan Meteorological Agency (JMA),"JMA numerical storm surge model (8 runs/day, 33 h, 290 coastal points; multi-scenario since 2016) underpinning storm surge warnings/advisories",129,14
BGD,Bangladesh,2015,8.38183750736477,171466990,South Asia,Lower middle income,14372084.4805694,national,Bangladesh Meteorological Department (BMD),"CIFDP-Bangladesh system (JMA storm surge model with wave/tide input, Delft-FEWS); upgraded JICA-supported storm surge model 2026",2,0
THA,Thailand,2015,17.4710387027152,71702435,East Asia & Pacific,Upper middle income,12527160.169639211,national,Thai Meteorological Department (TMD) Marine Meteorological Center,"TMD storm surge model (Thailand area 90-114E, 0-24N, 0.25 deg, up to 96 h, daily); surge information in TC bulletins",2,0
PHL,Philippines,2015,10.5243953512241,114891199,East Asia & Pacific,Upper middle income,12091604.00652163,national,DOST-PAGASA,Storm Surge Watch (48 h) / Storm Surge Warning (24 h); colour-coded surge heights,5,0
NLD,Netherlands,2015,53.6880948779583,17877117,Europe & Central Asia,High income,9597883.536403613,national,Rijkswaterstaat Watermanagementcentrum Nederland (WMCN-Kust) with KNMI,"Storm surge warning service (formerly Stormvloedwaarschuwingsdienst, SVSD); coastal water-level forecasts",46,0
