stn,peak_time,peak_cm
esbjerg-esb-dnk-dmi,2005-01-08 16:00:00+00:00,282.11915289760987
dunkerque-2-fra-refmar,2013-12-05 21:00:00+00:00,229.0287526463382
morgans_point-8770613-usa-noaa,2008-09-13 05:00:00+00:00,172.70626287698266
viken-vik-swe-cmems,2013-12-06 16:00:00+00:00,156.24106782856427
atlantic_city-8534720-usa-noaa,2012-10-29 21:00:00+00:00,150.79092917482976
anchorage-9455920-usa-noaa,2011-01-01 07:00:00+00:00,141.9693742821207
sandakan-389a-mys-uhslc,2009-12-15 19:00:00+00:00,141.00588395312727
ballen-bal-dnk-cmems,2012-02-09 16:00:00+00:00,130.83393570031157
saint_nazaire-37-fra-refmar,2017-12-11 03:00:00+00:00,127.04748945956526
onisaki-gs09-jpn-jodc_giaj,2009-10-07 20:00:00+00:00,126.28897531280117
holyhead-hol-gbr-bodc,2000-12-13 01:00:00+00:00,124.54815054151575
varennes-15660-can-meds,2001-04-15 18:00:00+00:00,116.03815163183766
