stn,gtsm_idx,dist_km
aburatsubo-gs01-jpn-jodc_giaj,14882,4.442086119041538
anchorage-9455920-usa-noaa,39561,1.4226831768156538
andenes-800a-nor-uhslc,38617,0.8240407611898651
arrecife-arre-esp-ieo,10197,0.5670949436038154
atlantic_city-8534720-usa-noaa,38627,1.004666858508837
ballen-bal-dnk-cmems,39036,0.20790630381881056
bar_harbor-8413320-usa-noaa,39577,1.3230710502504475
base_prat-730a-chl-uhslc,38652,1.0579246684171035
bermagui-219470-aus-bom,12821,2.8114936783661895
bintulu-387a-mys-uhslc,39585,2.9452292238384623
bowen-59320-aus-bom,9112,6.779713614722701
busselton_port_geographe-bsgeo01-aus-bom,8891,6.4909014970587045
cherry_point-9449424-usa-noaa,39782,27.349554712303764
dakar-223e-sen-uhslc,39634,1.587036972008413
dunkerque-2-fra-refmar,3891,0.9891069137012987
durban-181a-zaf-uhslc,39646,0.9689528137118092
esbjerg-esb-dnk-dmi,39207,1.0913589585067383
ferrol2-fer-esp-cmems,3591,10.364901631083939
fremantle-175a-aus-uhslc,18392,1.70699961296902
fuerteventura-fue-esp-cmems,39339,0.1109999999997413
funchal-218b-prt-uhslc,39669,0.1451107770059516
gan-109a-mdv-uhslc,38717,1.3365215793532739
hobart-339a-aus-uhslc,39685,0.5801165452857567
holyhead-hol-gbr-bodc,39347,0.1457326333859058
humboldt_bay_ca-576a-usa-uhslc,38741,1.0928867474052064
izuhara-hd23-jpn-jodc_jcg,14845,8.086730898508282
jervis_bay-216470-aus-bom,40904,6.308465427243823
juan_fernandez-021b-chl-uhslc,38751,2.2059834979910136
kanton-013b-kir-uhslc,39704,1.488863316249635
killybegs_port-kil-irl-mi_c,39354,2.1887672187885645
kungsvik-kun-swe-cmems,39114,0.13011761459196214
kurihamako-0161-jpn-jodc_pahb,14881,4.733543128648711
lameshur_bay-9751381-usa-noaa,38780,1.0407537748320368
lamu-149b-ken-uhslc,38781,3.299973882313646
lapalma-lap-esp-cmems,39356,0.8135302815543949
lautoka-402a-fji-uhslc,38785,1.3361953080606477
madeira-715a-bra-uhslc,38876,0.9144663458774447
melbourne_williamstown-60780-aus-bom,39944,6.131132425470203
melville_bay_gove_harbour-63480-aus-bom,9034,1.8854055204673386
morgans_point-8770613-usa-noaa,18484,21.741268160142322
motril-mot-esp-cmems,39370,0.45282707644996895
nagasaki-362a-jpn-uhslc,38835,3.6101431121531133
naha-355a-jpn-uhslc,38836,1.359349653509342
nice-339-fra-refmar,39305,0.7533369737406878
niigatakonishiko-0103-jpn-jodc_pahb,10266,5.705354955447943
numbo_noumea-659-fra-refmar,39787,2.6795209227097265
onahama-ma12-jpn-jodc_jma,39792,1.3574392259923016
onisaki-gs09-jpn-jodc_giaj,39778,13.762516720382374
paita-678b-per-uhslc,38860,3.2063409510593144
palma-palm-esp-ieo,455,0.7595443482168024
papeete-015b-fra-uhslc,38863,1.3095969773183098
penrhyn-024a-cok-uhslc,39808,1.226305928515431
pohnpei-67950-fsm-bom,39810,0.40900815007847025
port_aux_basques-665-can-meds,39819,0.897573388730199
port_chicago-9415144-usa-noaa,18462,20.30203584870401
port_douglas-59040-aus-bom,9098,10.062073771774013
port_elizabeth-184a-zaf-uhslc,38881,2.0717194692293344
port_manatee-8726384-usa-noaa,15278,4.937904214638245
puerto_montt-684a-chl-uhslc,39850,1.673285065461238
richmond-9414863-usa-noaa,40621,6.360091947771655
rikitea-016a-fra-uhslc,38925,0.6338849230107276
rumoiko-0132-jpn-jodc_pahb,10330,11.084855829319539
saint_nazaire-37-fra-refmar,39876,0.5029795370557462
salalah-114a-omn-uhslc,38933,1.4585442592681102
san_juan-096a-per-uhslc,38942,1.0760558808721254
sandakan-389a-mys-uhslc,38947,1.6426180776067356
simrishamn-sim-swe-cmems,39157,0.5074477765923043
smogen-smo-swe-cmems,39161,0.3311923034336853
stanley-sta-gbr-noc,38891,3.5158575404499666
tacoma-9446484-usa-noaa,39887,36.09152291690902
takamatsu-ma35-jpn-jodc_jma,39911,0.8259610677326139
tallinn-tal-est-cmems,39170,0.733664135465173
tofino_bc-8615-can-meds,38991,0.6748514559234822
tomakomaihigashiko-0146-jpn-jodc_pahb,10310,12.45364358997446
tomakomainishiko-0136-jpn-jodc_pahb,10310,4.088255004543364
tregde-804a-nor-uhslc,38997,0.05882103832990538
uragami-ma25-jpn-jodc_jma,39930,2.467697130769716
ushuaia-600a-arg-uhslc,39931,22.211151376389815
varennes-15660-can-meds,18449,237.58108354019137
veracruz_ver-250a-mex-uhslc,39004,2.657990446729511
viken-vik-swe-cmems,5225,1.1517082828783922
west_channel_pile-60739-aus-bom,41229,9.864797051851179
weymouth-wey-gbr-cmems,39403,0.7582571678771126
yokosuka-hd08-jpn-jodc_jcg,14882,10.339078393421085
