name,surge_h,post2000_h,joined_h,share_all,share_post,forcing_gap_post
aarhus-aar-dnk-cmems,131886,131886,131886,1.0,1.0,0.0
abashiri-347a-jpn-uhslc,432812,162836,432812,1.0,2.6579626126900684,-1.6579626126900684
abashiri-ma02-jpn-jodc_jma,440558,171446,440558,1.0,2.5696604178575178,-1.5696604178575178
aberdeen-abe-gbr-bodc,438264,141452,141452,0.32275523428800906,1.0,0.0
aberdeen-abe-gbr-cmems,253394,171435,253394,1.0,1.4780762388077113,-0.47807623880771133
aburatsu-354a-jpn-uhslc,504858,165107,504858,1.0,3.0577625418667895,-2.0577625418667895
aburatsubo-gs01-jpn-jodc_giaj,720102,172284,658761,0.914816234366798,3.82369227554503,-2.82369227554503
acajutla-082a-slv-uhslc,330223,12310,330223,1.0,26.825588952071488,-25.825588952071488
acapulco-316-mex-unam,421612,73603,421612,1.0,5.728190427020638,-4.728190427020638
acapulco_gro-316a-mex-uhslc,348009,0,348009,1.0,,
adak_alaska-040a-usa-uhslc,554605,161248,161248,0.2907438627491638,1.0,0.0
adak_island-9461380-usa-noaa,576568,183816,576568,1.0,3.1366583975279627,-2.1366583975279627
ajaccio_aspretto-300-fra-refmar,170940,155127,155127,0.9074938574938575,1.0,0.0
akune-gs15-jpn-jodc_giaj,430870,174876,430870,1.0,2.463860106589812,-1.463860106589812
alameda-9414750-usa-noaa,367850,189313,367850,1.0,1.9430783939824523,-0.9430783939824523
albany-62120-aus-bom,458841,166029,458841,1.0,2.76361960862259,-1.76361960862259
alesund-aes-nor-nhs,498458,181235,498458,1.0,2.750340717852512,-1.750340717852512
alexandria_bay_ny-8311062-usa-noaa,331552,188181,118206,0.35652326030305953,0.6281505571763355,0.3718494428236645
algeciras-alge-esp-ieo,498356,100860,100860,0.20238544333769434,1.0,0.0
algonac_mi-9014070-usa-noaa,442304,187630,187630,0.42421049775719866,1.0,0.0
alicante_i-ali-esp-da_mm,505026,157794,60175,0.11915228126868715,0.3813516356768952,0.6186483643231049
alitak-9457804-usa-noaa,128982,128982,128982,1.0,1.0,0.0
almeria-alm-esp-cmems,128540,128540,128540,1.0,1.0,0.0
alpena_mi-9075065-usa-noaa,133492,133492,133492,1.0,1.0,0.0
amami-ma73-jpn-jodc_jma,191534,167088,167088,0.8723673081541659,1.0,0.0
american_falls_ny-9063009-usa-noaa,393610,187892,187892,0.47735575823784965,1.0,0.0
amherstburg_ontario-11995-can-meds,502345,185859,115997,0.2309110272820472,0.6241129027919013,0.37588709720809865
anchorage-9455920-usa-noaa,335009,186746,186746,0.5574357703822882,1.0,0.0
ancona-anx-ita-ispra,253263,185946,185946,0.7342012058611009,1.0,0.0
andenes-800a-nor-uhslc,225321,158734,158734,0.7044793871853933,1.0,0.0
annapolis-8575512-usa-noaa,721442,168094,168094,0.2329972471799535,1.0,0.0
antofagasta-080a-chl-uhslc,599169,157515,157515,0.2628891014054465,1.0,0.0
aomoriko-0104-jpn-jodc_pahb,445780,169104,64616,0.14495042397595226,0.3821080518497493,0.6178919481502507
apalachicola_fl-760a-usa-uhslc,366510,161706,161706,0.44120487844806416,1.0,0.0
apia-401b-wsm-uhslc,219036,159117,159117,0.7264422286747384,1.0,0.0
apra_harbor_guam-053a-usa-uhslc,579230,157915,61033,0.10536919703744627,0.3864927334325428,0.6135072665674572
arena_cove-9416841-usa-noaa,298403,188472,118653,0.39762669946347723,0.6295524003565517,0.3704475996434483
argentia-835-can-meds,405003,176291,176291,0.4352831954331203,1.0,0.0
arklowharbour-ark-irl-cmems,152028,152028,152028,1.0,1.0,0.0
arrecife-arre-esp-ieo,465209,97972,97972,0.21059781732511623,1.0,0.0
asamushi-gs06-jpn-jodc_giaj,554766,174257,174257,0.3141090117274671,1.0,0.0
ascension-291a-gbr-uhslc,117980,68056,68056,0.5768435328021698,1.0,0.0
ascension-asc-gbr-noc,117943,67613,67613,0.5732684432310523,1.0,0.0
astoria-9439040-usa-noaa,832620,189072,189072,0.22708078114866326,1.0,0.0
atka-9461710-usa-noaa,116864,116864,116864,1.0,1.0,0.0
atlantic_city-8534720-usa-noaa,912138,183698,73539,0.08062266893825276,0.4003255343008634,0.5996744656991366
avonmouth-avo-gbr-cmems,186152,113718,113718,0.6108878765739826,1.0,0.0
awashima-hd25-jpn-jodc_jcg,448728,167913,167913,0.37419773225651176,1.0,0.0
awayuki-ma69-jpn-jodc_jma,124941,124941,124941,1.0,1.0,0.0
ayukawa-ma11-jpn-jodc_jma,438189,157434,157434,0.35928332294968607,1.0,0.0
bagenkop-bag-dnk-cmems,107658,107658,107658,1.0,1.0,0.0
baie_comeau-2840-can-meds,177038,0,0,0.0,,
bakar-bak-hrv-uz,375522,157766,87649,0.23340576584061654,0.5555633026127302,0.44443669738726976
bake_a-3611-deu-wsv,134029,134029,134029,1.0,1.0,0.0
bake_c_scharhorn-3905-deu-wsv,178231,160731,160731,0.9018128159523315,1.0,0.0
ballen-bal-dnk-cmems,239943,167225,65773,0.27411926999329006,0.39332037673792797,0.606679623262072
baltimore-8574680-usa-noaa,992362,179553,179553,0.18093498138784034,1.0,0.0
baltra-003b-ecu-uhslc,263249,137212,137212,0.5212251518524287,1.0,0.0
bamfield_bc-8545-can-meds,441228,184572,184572,0.41831434088498465,1.0,0.0
bangor-ban-gbr-cmems,184798,151165,151165,0.8180012770700982,1.0,0.0
bar_harbor-8413320-usa-noaa,596566,173747,596566,1.0,3.4335326653122067,-2.4335326653122067
bar_point_ontario-12005-can-meds,472656,182680,472656,1.0,2.5873439894898183,-1.5873439894898183
barcelona-bar-esp-cmems,235543,178988,235543,1.0,1.3159709030773012,-0.31597090307730125
bari-bar-ita-ispra,259248,149757,259248,1.0,1.731124421562932,-0.731124421562932
barmouth-bar-gbr-bodc,167063,98490,167063,1.0,1.6962432734287745,-0.6962432734287745
barmouth-bar-gbr-cmems,206109,137624,206109,1.0,1.4976239609370459,-0.49762396093704586
barseback-bar-swe-cmems,251466,182973,69826,0.27767570963867877,0.3816191459942177,0.6183808540057822
base_prat-730a-chl-uhslc,157993,26233,26233,0.16603900172792466,1.0,0.0
