lead,skill_full,skill_p9,skill_p95,skill_p99,skill_p999
1,10.744833995283997,11.481666,11.589029,13.055748,12.456737
2,18.15795948342535,18.791315,19.074951,21.197155,19.42023
3,22.84704276748949,23.75954,24.015614,26.109644,25.340271
4,26.75274943799681,27.65396,27.925158,29.468027,28.433601
5,29.183888676554588,30.477673,30.881165,32.497665,31.340218
6,30.221481183926457,32.0487,32.549183,34.38202,33.625362
7,30.95953429910284,33.06759,33.763485,35.43522,35.436493
8,31.19992103242511,33.589035,34.354755,35.623074,34.93452
9,30.792279809081908,33.559387,34.433186,35.792763,35.055984
10,30.499843672074775,33.634594,34.62841,36.294876,34.97588
11,30.125504031024203,33.74204,34.885048,36.87792,35.618217
12,29.53529588543151,33.707493,35.134827,37.686596,36.662304
13,30.945258565259685,35.060402,36.43848,38.960392,37.114235
14,33.158474075861896,36.997467,38.24683,40.316437,38.6325
15,35.16412720881829,38.928104,40.248985,42.1143,41.113155
16,37.1146475684451,40.85211,42.029476,43.824757,43.471886
17,38.64366794320288,42.437935,43.675877,45.556522,45.383987
18,39.56726827478947,43.529335,44.823128,46.691643,46.07448
19,40.214541874935364,44.26816,45.687344,47.521954,46.582783
20,40.46781052994493,44.667484,46.055668,47.93399,46.54714
21,40.25032017785033,44.68096,46.02032,47.76077,46.011066
22,39.666980722114964,44.331993,45.706215,47.63477,45.430477
23,38.92925747151172,43.967613,45.491844,47.2371,45.20424
24,37.42593578185096,43.089203,44.81396,46.838146,44.633022
25,36.68089718667221,42.601166,44.276215,46.276657,44.20545
26,37.60347280641437,43.285213,44.83783,46.851654,44.43654
27,38.708948156163,44.18609,45.648125,47.459152,44.715508
28,39.7993203883099,45.14793,46.61926,48.530273,46.141605
29,40.802811740748304,46.02447,47.52683,49.393517,46.844006
30,41.322931243944275,46.6365,48.175907,50.08604,48.681824
31,41.58136548779505,47.009296,48.587715,50.170055,49.102467
32,41.67651627830373,47.14561,48.73719,50.290913,49.689655
33,41.529102223440596,47.049538,48.604286,50.100277,48.72494
34,41.309105664622344,46.97587,48.518913,50.08959,48.199787
35,41.295094264175646,47.04983,48.717205,50.52249,49.168743
36,40.924636483448324,46.831615,48.54494,50.56442,48.60895
37,40.639087850685264,46.760372,48.57684,50.813004,48.72566
38,40.94228482910179,46.973713,48.691296,50.63781,48.9673
39,41.539123489809306,47.45612,49.118053,50.920322,49.505035
40,42.05446817109428,47.854244,49.47517,51.092293,49.21031
41,42.6284786825933,48.418816,50.02616,51.635597,49.585094
42,43.09170807659386,48.895615,50.519802,52.118244,49.78327
43,43.219953711697215,49.04809,50.673237,52.14575,49.6974
44,43.43121529950773,49.215122,50.84601,52.153576,49.9865
45,43.52897613617705,49.30789,50.960743,52.41558,50.387238
46,43.110930184596235,48.93546,50.587307,51.84338,49.485924
47,42.605145198898995,48.430332,50.01144,50.829697,47.906128
48,41.96652128850608,47.912136,49.502747,50.018253,46.616898
