lead,skill_full,skill_p9,skill_p95,skill_p99,skill_p999
1,10.589993882431168,11.161838,11.614556,12.930118,17.250996
2,17.974006917767955,18.595108,19.050594,20.69945,21.600182
3,22.610807177709862,23.391905,23.697702,25.023859,26.529573
4,26.470215400222678,27.272848,27.682823,28.890852,30.074797
5,28.680993874862008,29.69969,30.171171,31.173029,31.480167
6,29.61569769363376,31.13978,31.707687,32.933243,33.53091
7,30.368663284248857,32.099834,32.88683,34.06845,35.787567
8,30.30033600535864,32.383038,33.21401,33.68458,34.70098
9,29.48841595602492,31.813734,32.725304,33.28408,34.712006
10,28.77233328697947,31.537123,32.638336,33.856197,34.62172
11,28.10174999929226,31.415962,32.606316,34.33601,35.078
12,27.061590387375276,31.098963,32.606853,34.764706,35.595516
13,28.46876635864691,32.581768,34.178974,36.7218,37.658787
14,30.970427195967634,34.756386,36.196957,38.386616,38.55346
15,33.23180640894133,36.9944,38.388046,40.405457,40.686005
16,35.33230275340152,39.121666,40.442863,42.374367,42.915
17,36.964640652384695,40.833084,42.22476,44.028446,45.10082
18,37.89777237626384,41.951817,43.378025,45.064957,45.994034
19,38.4628938676057,42.607384,44.118553,45.80745,47.24849
20,38.68125329068837,43.008057,44.510418,46.211727,47.42815
21,38.30306178479525,42.74834,44.323143,46.00531,47.420425
22,37.38483566936017,42.01076,43.53214,45.223793,47.013042
23,36.315644938581386,41.34129,42.94661,44.219543,46.239258
24,34.402700114975495,40.268944,42.18299,43.738693,45.907635
25,33.27270398581144,39.46618,41.389084,42.76301,43.50995
26,34.52718299202389,40.40678,42.089615,43.712185,44.143864
27,36.05887921401859,41.707176,43.3569,45.241848,46.49109
28,37.39759010464097,42.87681,44.441742,46.53217,48.22317
29,38.47919679743431,43.746033,45.24792,47.15335,48.67457
30,39.05211692271699,44.363544,45.98667,47.91678,50.120197
31,39.43819185970878,44.874146,46.510387,48.14163,49.94093
32,39.55409178082829,45.017204,46.60472,48.104313,50.5653
33,39.41559668534064,44.927376,46.484413,47.998474,50.46632
34,39.12175904305133,44.820774,46.400978,47.86662,49.933113
35,39.086665107843544,44.89426,46.60458,48.426914,51.553436
36,38.610658317859794,44.687786,46.41772,48.56093,51.53465
37,38.04770758829911,44.251053,45.997864,48.038795,50.460026
38,38.33790463320406,44.418854,46.044926,47.785454,50.69402
39,39.04364309443754,44.978424,46.577698,48.16166,51.168575
40,39.65522688507871,45.490555,47.043026,48.53612,51.163734
41,40.39345059357454,46.179222,47.750683,49.31414,52.085373
42,40.93308433554757,46.751465,48.387356,49.9576,52.117718
43,41.15920189563526,46.98489,48.66567,50.323303,51.67731
44,41.408306107801586,47.26906,48.897614,50.656292,51.60813
45,41.5152515129936,47.26117,48.880417,50.896008,51.406536
46,40.99814853917963,46.706608,48.308086,49.88292,50.27632
47,40.34932960739567,45.98879,47.452053,48.11691,49.002167
48,39.53839745414666,45.339478,46.824913,47.23781,47.652782
