stn,frac_p999_masked,n_exc
vung_tau-383a-vnm-uhslc,0.4482758620689655,145
veracruz_ver-250a-mex-uhslc,0.2535211267605634,142
rough_and_ready_island-rri-usa-cdwr,0.2033898305084746,177
port_vila-046b-vut-uhslc,0.1963470319634703,219
numbo_noumea-659-fra-refmar,0.14728682170542637,129
pago_bay-1631428-usa-noaa,0.13178294573643412,129
nagasaki-362a-jpn-uhslc,0.12751677852348994,298
kahului-1615680-usa-noaa,0.12681159420289856,552
pointe_pitre-272a-fra-uhslc,0.12222222222222222,180
trident_pier-8721604-usa-noaa,0.11637931034482758,232
port_chalmers-669a-nzl-uhslc,0.11330049261083744,203
onahama-ma12-jpn-jodc_jma,0.11328976034858387,459
cabo_san_lucas-034a-mex-uhslc,0.10648148148148148,216
esashiko-0140-jpn-jodc_pahb,0.10526315789473684,304
virginia_key-8723214-usa-noaa,0.10460251046025104,239
daugavgriva-dau-lva-cmems,0.102803738317757,107
davao-372b-phl-uhslc,0.09848484848484848,132
kawaihae-552a-usa-uhslc,0.09090909090909091,242
lautoka-402a-fji-uhslc,0.08771929824561403,228
tallinn-tal-est-cmems,0.08620689655172414,116
kolka-kol-lva-cmems,0.08490566037735849,106
san_andres-737a-col-uhslc,0.08088235294117647,136
makurazaki-ma43-jpn-jodc_jma,0.0784313725490196,459
misumi-ma46-jpn-jodc_jma,0.07623318385650224,446
sedili-324a-mys-uhslc,0.076,250
salalah-114a-omn-uhslc,0.07582938388625593,211
takamatsu-ma35-jpn-jodc_jma,0.07538802660753881,451
ko_taphao_noi-148a-tha-uhslc,0.07167235494880546,293
i_295_bridge-8720357-usa-noaa,0.06923076923076923,130
acapulco-316-mex-unam,0.06872037914691943,422
akune-gs15-jpn-jodc_giaj,0.06728538283062645,431
oyster_landing_n_inlet_estuary-8662245-usa-noaa,0.06666666666666667,150
kagoshima-ma42-jpn-jodc_jma,0.06578947368421052,456
chichijima-047a-jpn-uhslc,0.06544502617801047,382
hilo_hawaii-060a-usa-uhslc,0.06528189910979229,674
moji-hd17-jpn-jodc_jcg,0.060324825986078884,431
settlement_point-257b-bhs-uhslc,0.05970149253731343,134
nakano_shima-345a-jpn-uhslc,0.0594059405940594,303
esperanza-9752695-usa-noaa,0.05737704918032787,122
buenos_aires-285a-arg-uhslc,0.05578512396694215,484
matsuyama-ma34-jpn-jodc_jma,0.055226824457593686,507
lamu-149b-ken-uhslc,0.05472636815920398,201
vaca_key-8723970-usa-noaa,0.05221932114882506,383
fukue-ma50-jpn-jodc_jma,0.05194805194805195,462
