status,n_gross_removed,span_years,gap_frac,n_hourly,n_tide_segments,M2_cm,n_spike_removed,mean_cm,std_cm,M2_leak_cm,lowfreq_frac_pct,name
ok,0,87.0,0.049,762624,11,33.4,233,-0.02,8.47,0.14,13.3,aburatsubo-gs01-jpn-jodc_giaj
ok,0,43.58,0.123,382031,6,343.9,39,0.01,24.38,0.43,4.5,anchorage-9455920-usa-noaa
ok,0,27.23,0.006,238684,4,66.3,288,-0.01,14.12,0.06,12.5,andenes-800a-nor-uhslc
ok,0,67.0,0.205,587304,9,83.2,791,-0.04,7.77,0.56,6.5,arrecife-arre-esp-ieo
ok,0,110.58,0.057,969359,14,58.5,302,0.0,16.54,0.04,6.5,atlantic_city-8534720-usa-noaa
ok,0,29.92,0.064,262295,4,12.7,247,0.01,17.05,0.16,5.0,ballen-bal-dnk-cmems
ok,0,74.58,0.086,653783,10,157.3,296,-0.0,12.35,0.19,5.1,bar_harbor-8413320-usa-noaa
ok,0,18.81,0.042,164952,3,43.8,30,0.07,12.43,0.2,10.8,base_prat-730a-chl-uhslc
ok,0,32.58,0.069,285595,5,44.7,17,0.04,9.69,0.04,12.5,bermagui-219470-aus-bom
ok,0,23.61,0.13,206942,3,18.9,15,-0.02,6.77,0.01,9.1,bintulu-387a-mys-uhslc
ok,0,33.11,0.015,290301,5,76.1,9,0.0,8.98,0.32,11.4,bowen-59320-aus-bom
ok,0,17.55,0.011,153877,3,5.4,11,0.03,13.54,0.06,6.8,busselton_port_geographe-bsgeo01-aus-bom
ok,0,50.66,0.076,444143,7,72.5,225,0.04,13.6,0.07,9.7,cherry_point-9449424-usa-noaa
ok,0,26.8,0.208,234909,4,46.0,45,0.01,5.26,0.39,15.5,dakar-223e-sen-uhslc
ok,0,64.57,0.193,566018,9,210.9,52,-0.09,21.55,0.05,4.0,dunkerque-2-fra-refmar
ok,0,48.25,0.331,422976,7,55.8,39,0.03,9.25,0.13,15.9,durban-181a-zaf-uhslc
ok,0,70.0,0.037,613609,9,65.9,288,0.03,36.09,0.63,9.5,esbjerg-esb-dnk-dmi
ok,0,14.08,0.011,123475,2,120.6,39,0.03,10.02,0.12,15.0,ferrol2-fer-esp-cmems
ok,0,31.58,0.004,276832,4,5.2,40,-0.01,12.47,0.03,7.0,fremantle-175a-aus-uhslc
ok,0,17.08,0.021,149784,3,80.8,23,-0.01,4.0,0.09,14.7,fuerteventura-fue-esp-cmems
ok,0,37.23,0.242,326423,5,72.1,68,-0.02,6.11,0.03,13.2,funchal-218b-prt-uhslc
ok,0,31.83,0.063,279014,4,30.0,9,0.01,4.03,0.07,23.2,gan-109a-mdv-uhslc
